fips,data
25027,6
25013,14
25003,3
25011,1
25017,166
25021,89
25023,1
25033,1
44009,53
44007,2
44020,2
33015,56
33011,501
33013,474
23005,2
23011,17
50027,1
50011,1
9015,75
9013,97
9003,89
9005,3
9011,6
9001,72
9009,8
34017,3
34031,3
34013,282
34037,36
34025,121
34041,35
34027,297
34015,105
34005,170
34001,1
34029,1
34019,74
34023,170
36085,78
36119,1
36071,24
36047,109
36081,60
36059,535
36103,98
36091,39
36021,5
36027,1
36079,1
36019,1
36063,240
36029,195
36055,1
36073,1
36069,6
42003,620
42007,2
42125,184
42019,142
42059,24
42051,51
42009,271
42129,271
42005,56
42033,2
42063,1
42065,1
42021,149
42111,1
42073,2
42085,2
42039,308
42013,134
42027,297
42061,32
42014,12
42041,12
42133,96
42043,40
42071,426
42075,71
42081,9
42113,9
42017,125
42077,32
42095,1
42079,262
42045,30
42029,340
42091,87
42011,83
10003,1
10001,55
11001,1
24021,1
24031,63
24003,21
24005,101
24050,100
24510,100
24001,39
24023,36
24045,102
51059,19
51600,18
51610,18
51153,27
51057,1
51097,1
51137,62
51177,62
51075,18
51109,18
51041,137
51750,137
51760,137
51710,20
51700,1
51149,153
51191,1
51197,11
51031,41
51680,40
51019,1
51515,1
51037,1
51185,83
54039,5
54065,233
54037,1
54059,1
54081,158
54109,1
54009,2
54033,145
54085,1
54041,1
54001,3
54023,110
54057,3
54027,227
54031,107
54071,107
37169,32
37171,32
37067,230
37135,29
37105,3
37081,42
37101,37
37183,65
37191,131
37069,28
37077,28
37063,28
37127,309
37147,109
37195,1
37041,1
37167,72
37159,1
37119,480
37109,16
37179,4
37071,142
37051,1
37085,1
37061,1
37153,87
37141,1
37133,14
37003,364
37023,42
37035,355
37189,2
37193,3
37097,317
37021,28
37089,1
37173,1
37087,1
45063,331
45061,48
45085,48
45079,2
45039,1
45083,195
45021,172
45149,172
45059,68
45051,1
45041,1
45045,201
45007,202
45073,199
45057,201
45091,199
13121,352
13089,92
13067,1271
13135,1197
13005,3
13015,4
13115,11
13129,1
13057,153
13223,86
13225,46
13233,2
13097,73
13045,34
13149,99
13063,177
13113,177
13255,202
13151,160
13085,26
13285,26
13035,8
13155,8
13247,8
13540,8
13077,39
13099,39
13117,2
13139,3
13111,90
13291,82
13123,8
13187,6
13281,1
13157,89
13011,180
13119,180
13137,180
13257,180
13013,88
13059,88
13219,88
13047,61
13079,45
13153,45
13081,1
13093,1
13315,1
13021,13
13207,13
13051,3
13229,1
13127,95
13069,1
13001,1
13161,1
13039,1
13019,160
13277,160
13287,160
12107,1
12109,265
12127,357
12073,83
12113,2
12001,29
12069,142
12095,320
12050,49
12117,147
12009,101
12097,435
12011,1165
12025,1449
12086,1449
12087,67
12030,1
12099,512
12057,591
12103,118
12105,776
12055,32
12071,3
12015,226
12115,26
12053,8
12101,201
12093,145
12111,98
12085,70
1117,1
1073,303
1043,2
1095,2
1009,2
1075,171
1093,171
1079,67
1103,67
1077,39
1033,157
1089,73
1101,1
1027,1
1121,88
1099,2
1013,2
1039,2
1035,2
1003,453
1053,389
1097,306
1037,220
1025,2
1091,2
1131,2
1081,27
1017,27
47003,306
47117,1
47119,1
47037,526
47103,183
47065,102
47051,36
47179,129
47001,188
47019,1
47129,2
47145,2
47089,573
47093,573
47155,573
47009,242
47035,51
47157,83
47131,120
47087,14
47133,14
47141,14
47185,14
47007,50
28033,379
28011,1
28133,1
28057,1
28008,38
28089,38
28001,1
28149,1
28023,2
28075,1
28061,55
28067,55
28153,55
28031,1
28065,1
28073,1
28091,1
28077,33
28085,33
21179,116
21019,14
21185,14
21211,14
21215,14
21163,2
21027,2
21029,4
21111,3
21021,40
21167,40
21229,40
21011,51
21049,132
21073,51
21173,51
21113,32
21151,21
21067,81
21121,24
21125,24
21235,24
21095,1
21015,1
21061,86
21117,1
21089,2
21043,1
21025,321
21129,321
21119,10
21193,10
21031,84
21213,83
21227,83
21009,1
21059,1
21091,1
21087,13
21123,13
21155,13
21217,13
39005,113
39031,11
39083,42
39041,397
39159,67
39117,41
39089,87
39119,86
39049,502
39045,196
39127,1
39175,42
39123,218
39095,760
39051,75
39069,75
39081,22
39035,261
39055,87
39085,82
39103,87
39133,5
39093,86
39153,614
39099,31
39155,53
39019,1
39075,10
39157,59
39169,94
39151,145
39043,241
39139,244
39017,37
39061,85
39165,2
39025,23
39027,293
39135,5
39149,39
39113,5
39021,4
39023,182
39109,22
39079,273
39145,273
39009,160
39167,147
39003,1
39137,25
39063,484
18057,173
18109,1
18119,1
18133,1
18063,1
18097,86
18089,20
18085,13
18113,12
18183,12
18099,79
18141,79
18149,79
18049,1
18103,1
18137,51
18163,109
26099,44
26125,181
26147,21
26161,26
26115,231
26163,127
26087,96
26151,20
26157,2
