fips,data
25003,98
25011,1
25015,2
25027,142
25013,208
25017,674
25009,9
25021,556
25025,4
25023,2
25005,13
25001,4
44009,273
44007,30
44003,3
44020,19
44008,1
33015,391
33011,489
33013,812
33009,120
33001,160
33031,1
23005,3
23031,2
23017,1
23011,146
23019,2
23009,1
23015,1
23013,1
23021,1
23025,1
50025,2
50001,3
50007,4
50005,1
50023,1
50021,1
50019,1
50027,1
9003,497
9005,23
9015,84
9013,136
9011,84
9007,4
9001,658
9009,215
9100,1
34013,464
34031,29
34039,26
34017,26
34003,230
34023,261
34027,125
34037,459
34025,305
34041,445
34035,3
34001,5
34007,202
34015,232
34005,159
34050,1
34029,32
34033,2
34009,5
34011,1
34021,4
34019,272
36061,11
36085,75
36005,3
36119,71
36071,189
36087,62
36059,601
36047,293
36081,294
36181,2
36049,1
36004,1
36048,1
36053,2
36103,285
36035,93
36057,3
36091,139
36093,4
36039,1
36021,33
36001,3
36083,120
36111,1
36027,6
36079,1
36105,59
36115,1
36113,1
36019,1
36011,2
36067,3
36075,1
36043,1
36065,157
36007,3
36107,2
36017,1
36023,1
36029,428
36037,5
36121,3
36009,65
36063,340
36073,4
36013,56
36055,7
36051,3
36069,37
36099,2
36117,2
36003,1
36101,4
36015,3
36097,2
42007,44
42003,960
42125,242
42019,55
42129,505
42059,38
42051,75
42111,194
42009,172
42063,2
42005,18
42047,2
42021,566
42073,29
42085,3
42031,1
42039,436
42121,2
42049,17
42013,360
42027,440
42061,128
42083,1
42033,66
42075,278
42014,148
42041,154
42133,206
42001,24
42043,35
42071,649
42067,1
42099,1
42011,325
42055,2
42017,732
42081,32
42113,32
42037,3
42079,290
42093,4
42097,3
42107,165
42077,352
42095,4
42091,373
42103,4
42089,5
42069,1
42127,4
42131,1
42025,1
42115,1
42015,1
42045,378
42029,612
42101,10
10003,10
10001,132
10005,7
11001,11
24017,10
24033,41
24037,5
24009,4
24031,334
24003,106
24027,42
24081,1
24005,262
24025,10
24013,6
24063,2
24015,2
24510,250
24570,1
24050,246
24001,70
24023,42
24041,8
24029,2
24035,2
24047,4
24019,1
24021,9
24043,4
24014,1
24045,222
51059,250
51061,2
51600,228
51610,125
51107,1
51153,98
51013,8
51510,5
51177,214
51179,7
51197,89
51630,1
51137,216
51069,16
51840,16
51043,1
51171,2
51047,5
51113,82
51157,1
51165,1
51167,1
51660,1
51139,1
51003,4
51540,4
51065,4
51109,7
51820,1
51085,5
51075,5
51087,7
51073,1
51127,5
51041,132
51004,2
51095,2
51199,290
51830,2
51760,133
51008,1
51036,1
51750,127
51131,1
51550,29
51001,1
51800,1
51810,91
51710,122
51700,4
51650,4
51735,1
51740,76
51053,1
51149,297
51730,2
51670,1
51037,1
51770,117
51067,4
51161,118
51775,111
51023,2
51761,2
51121,6
51063,2
51155,2
51019,6
51191,68
51520,68
51051,1
51173,1
51015,3
51790,2
51163,2
51009,3
51125,3
51031,235
51680,233
51000,1
51011,2
51515,1
51143,17
51590,17
51027,1
51029,1
51083,1
51185,54
54055,67
54025,1
54063,1
54039,174
54087,2
54035,1
54053,1
54079,5
54065,190
54003,3
54011,90
54043,1
54081,211
54051,64
54069,63
54073,1
54107,1
54001,4
54041,3
54097,2
54033,167
54083,1
54091,2
54049,1
54023,105
54057,1
54027,319
54031,105
54071,104
37057,53
37067,358
37097,183
37159,3
37193,8
37197,5
37059,4
37169,34
37171,33
37157,4
37001,5
37033,5
37081,309
37151,10
37063,84
37135,84
37037,2
37105,26
37183,506
37101,136
37085,1
37191,20
37145,2
37069,71
37077,68
37127,201
37065,1
37147,158
37195,51
37083,2
37013,2
37117,2
37029,5
37139,4
37143,4
37053,45
37167,103
37071,443
37045,4
37109,47
37025,10
37119,1204
37179,27
37051,58
37052,46
37125,7
37155,1
37093,3
37153,144
37005,5
37141,1
37019,2
37133,34
37061,1
37107,2
37031,1
37079,2
37049,2
37003,261
37023,110
37035,270
37189,2
37027,4
37111,1
37011,1
37021,536
37173,21
37089,22
37199,1
37087,38
37075,1
37175,1
37043,1
37039,3
45039,5
45079,34
45055,3
45063,135
45031,1
45061,47
45081,2
45085,48
45003,2
45073,254
45021,77
45083,161
45007,276
45045,341
45149,76
45059,43
45019,89
45035,10
45015,17
45043,4
45089,1
45051,48
45041,6
45033,1
45067,1
45050,2
45077,1
45001,1
45004,1
45023,2
45091,170
45057,111
45245,1
45013,7
45053,2
13089,96
13098,2
13121,556
13067,1377
13135,1259
13007,16
13057,270
13015,19
13223,335
13233,6
13005,6
13115,42
13129,2
13117,8
13149,220
13227,43
13225,147
13097,296
13085,74
13045,83
13123,9
13171,4
13207,87
13293,3
13063,316
