fips,data
25027,13
25013,2
25003,38
25017,16
25009,1
25021,41
44007,4
44020,4
33011,404
33013,386
33015,18
50015,1
9015,76
9013,77
9003,78
9005,25
9009,22
34013,70
34027,1
36059,132
36091,20
36021,16
36063,259
36029,201
36055,1
36117,1
36069,18
42003,91
42129,76
42021,16
42019,15
42013,5
42027,151
42043,10
42071,30
42075,10
42017,10
51700,1
51710,1
12025,1
12086,1
21145,1
39019,1
39049,1
39123,143
39095,370
39007,1
39003,1
39035,24
39055,6
39133,6
39099,1
39155,18
39151,12
39153,12
39043,136
39149,2
39021,1
39091,1
39063,149
18089,11
18039,1
18141,1
26099,16
26147,1
26125,21
26161,5
26163,22
26115,6
26087,4
26151,21
26157,1
26143,42
26017,1
26093,5
26065,174
26037,1
26057,1
26077,155
26159,166
26021,10
26149,1
26075,22
26107,177
26081,9
26139,9
26029,1
26047,1
26109,1
19009,8
19029,8
19165,8
19181,2
19039,1
19121,1
19019,30
19037,21
19089,21
19193,1
55079,178
55089,309
55131,281
55055,23
55133,329
55105,53
55127,275
55101,107
55059,43
55021,1
55025,70
55045,15
55177,15
55103,38
55043,29
55109,2
55009,185
55087,295
55015,132
55137,73
55139,114
55039,1
27025,6
27059,6
27037,286
27049,612
27139,6
27065,38
27115,38
27019,184
27053,211
27171,129
27093,81
27145,168
27109,196
27123,196
27045,16
27055,16
27169,16
27013,33
27015,33
27103,33
27067,20
27009,87
27141,87
27035,33
27007,88
27057,88
46019,11
46081,11
17031,2
17097,54
17111,9
17197,33
17043,1
17093,1
17007,19
17177,3
17103,7
17195,7
29183,1
8059,11
8031,11
8013,7
8107,54
8077,1
8045,1
56001,16
56021,16
56025,9
56037,24
56043,7
16065,53
16027,146
16028,146
16045,146
16075,146
49003,2
32029,43
32031,43
6039,38
6019,38
6001,2
6061,9
6067,79
41005,1
41051,1
41047,5
41017,12
53033,47
53035,22
53053,39
53061,40
53011,6
53015,4
53039,1
53059,1
53077,1
53063,8
2240,1
