zip,data
01001,1362
01003,1314
01005,2047
01007,1390
01009,1258
01011,1313
01013,1357
01021,1359
01027,1379
01029,1294
01031,2010
01033,1321
01035,1313
01037,2011
01039,1236
01041,1356
01053,1238
01057,1270
01059,1314
01061,1313
01063,1315
01069,1263
01071,1308
01073,1352
01075,1321
01077,1248
01079,1261
01081,2013
01083,1908
01085,1244
01089,1359
01093,1236
01095,1429
01097,1305
01101,1359
01103,1359
01105,1359
01107,1359
01109,1359
01111,1359
01115,1359
01119,1359
01129,1360
02020,1479
02050,1490
02060,1939
02070,2555
02090,2483
02110,2431
02122,2432
02130,2437
02150,2568
02170,2101
02180,3556
02185,2378
02188,2054
02201,2431
04001,1973
04003,178
04005,77
04007,77
04009,176
04011,179
04013,178
04015,178
04017,178
04019,178
04021,178
04027,2377
05001,284
05009,302
05031,125
05033,285
05035,122
05037,286
05039,288
05041,128
05043,285
05045,286
05047,285
05049,286
05051,284
05053,284
05055,285
05059,284
05061,127
05065,285
05067,284
05069,126
05071,126
05073,284
05075,285
05077,128
05079,288
05081,285
05083,285
05085,284
05089,286
05091,123
05101,128
05141,127
05143,128
05149,126
06001,1817
06011,1818
06013,1817
06019,1954
06021,1808
06023,1914
06025,1463
06027,1816
06029,1534
06031,1638
06033,1463
06035,1553
06037,1912
06039,2003
06041,1416
06043,1533
06045,1416
06051,1912
06053,1912
06057,1952
06059,1952
06061,1955
06063,2017
06065,2016
06067,1914
06069,2138
06071,1325
06073,1463
06075,1438
06077,1435
06079,2002
06081,1553
06083,1568
06085,1816
06087,1816
06089,1955
06091,1816
06093,1396
06095,1511
06101,1772
06103,1913
06105,1914
06107,1916
06109,1914
06111,1914
06115,1913
08001,2801
08003,3149
08005,1812
08007,3888
08009,2084
08011,3134
08014,3731
08015,2918
08019,2007
08021,2088
08023,3346
08025,2979
08027,3728
08029,3675
08031,3884
08033,3892
08035,3890
08037,1787
08039,2980
08041,3031
08043,2434
08045,3888
08049,3886
08051,3316
08053,2576
08055,2571
08057,3615
08059,3883
08061,3696
08063,3641
08065,3934
08067,3353
08069,3343
08071,2983
08073,3914
08075,3619
08077,3933
08079,2639
08081,2270
08083,3506
08085,3349
08087,1485
08089,1964
08091,2222
08093,3853
08095,2145
08097,3697
08099,3884
08101,3887
08103,3889
08105,3895
08107,3890
08109,3895
10001,6235
10003,6234
10005,6232
11001,5073
12007,533
12009,534
12015,454
12017,626
12019,535
12023,532
12027,535
12029,627
12031,552
12033,535
12035,396
12037,470
12041,535
12043,552
12045,534
12047,538
12051,456
12053,396
12055,532
12057,537
12059,533
12061,535
12063,535
12065,537
12067,535
12069,398
12071,395
12073,395
12075,464
12077,535
12083,533
12085,534
12086,398
12087,533
12089,538
12093,274
12095,490
12107,533
12115,457
12117,333
12121,538
12123,547
12125,625
12131,394
12133,538
13021,10
13027,8
13029,164
13031,7
13033,10
13035,164
13037,164
13039,165
13043,164
13045,13
13051,165
13053,14
13057,165
13061,163
13063,166
13065,75
13069,8
13071,17
13073,15
13077,11
13081,75
13083,3
13087,10
13089,164
13093,6
13101,12
13103,163
13107,162
13111,11
13113,10
13115,8
13117,69
13119,11
13121,6
13123,163
13131,161
13135,7
13137,10
13139,74
13141,9
13143,70
13145,3
13147,13
13153,10
13155,165
13157,163
13159,166
13163,163
13165,74
13167,163
13201,166
13205,166
13207,166
13209,164
13211,165
13215,166
13217,166
13219,166
13221,166
13225,165
13235,166
13251,165
13261,166
13301,160
13303,162
13309,161
13313,162
13315,162
13317,367
13319,162
13321,162
15001,2473
15003,2614
15007,2314
15009,2322
16001,2301
16003,2355
16017,2052
16021,2058
16023,2207
16025,1896
16027,2459
16029,2352
16033,2554
16035,2053
16037,2428
16039,2214
16041,1743
16045,2447
16049,1768
16051,2894
16053,2459
16055,2600
16057,2064
16059,2316
16061,2570
16063,2408
17001,909
17003,2122
17005,1058
17007,868
17009,1421
17011,909
17013,1006
17015,870
17017,1050
17019,879
17021,2003
17023,1060
17025,867
17027,908
17029,1541
17033,1820
17035,1562
17037,1428
17039,2794
17041,2215
17043,913
17045,1508
17047,1429
17049,1331
17051,1960
17053,871
17055,870
17057,1828
17059,1330
17061,1052
17063,1217
17065,808
17067,2693
17069,960
17071,2006
17073,2794
17075,2115
17077,2123
17081,770
17083,2200
17085,2406
17087,2696
17089,907
17093,904
17097,1090
17099,1421
17101,912
17103,1071
17105,1073
17107,1071
17109,1072
17111,1817
17113,1077
17121,1073
17123,908
17125,908
17127,908
17129,908
17177,1072
17201,1440
18001,4441
18003,4501
18011,3559
18013,3858
18015,4569
18017,4450
18025,4626
18031,4110
18035,3851
18037,4055
18039,4835
18041,3871
18043,4210
18045,4142
18049,3901
18051,3759
18053,2809
18055,4314
18059,3856
18063,4119
18065,3447
18067,4026
18069,3924
18071,2936
18073,3886
18077,4831
18079,3430
18081,4498
18083,4152
18085,4153
18087,3865
18091,3216
18099,4164
18101,4624
18103,4630
18105,4624
18109,4439
19001,4222
19003,3900
19007,3928
19009,4221
19013,3735
19015,3736
19017,3585
19019,4225
19021,3922
19023,3891
19025,3946
19027,3934
19029,3544
19031,3946
19033,3549
19035,3904
19037,3552
19039,3590
19041,3902
19043,3679
19047,4396
19049,3951
19053,4660
19055,3948
19057,3947
19061,3772
19063,3587
19065,3552
19067,4897
19073,3722
19075,3943
19079,3677
19081,3549
19083,3900
19085,3900
19087,4011
19089,3936
19091,3552
19093,3895
19095,3944
19099,3898
19101,3897
19103,3894
19105,3898
19107,3898
19109,3863
19111,3931
19113,3545
19115,4223
19119,3909
19121,3904
19123,3866
19125,3894
19127,3900
19129,3908
19131,3901
19133,3871
19135,3935
19137,3898
19139,3895
19141,3911
19143,3893
19145,3888
19147,3862
19149,3931
19151,3899
19153,3676
19155,4365
19161,3931
19171,3898
19173,3897
19175,3863
19177,3863
19179,3910
19181,3865
19183,3897
19185,3854
19187,3898
19191,3898
19193,3895
19195,3898
19197,3895
20001,1955
20003,1962
20005,1955
20007,1950
20009,1955
20011,1954
20013,1954
20015,1953
20017,1958
20019,1961
20023,1962
20027,1950
20029,1961
20033,1954
20035,1954
20037,1954
20039,1954
20041,1826
20043,1955
20045,1954
20047,1953
20049,1954
20051,1954
20053,1954
20055,1954
20057,1954
20059,1954
20061,1956
20063,1954
20065,1954
20067,1954
20069,1709
20071,1955
20073,1954
20075,1956
20077,1956
20081,1954
20091,1954
20097,1954
20101,1716
20103,1715
20105,1573
20107,1653
20109,1983
20111,1910
20113,1984
20115,1848
20117,1942
20119,1667
20121,1915
20129,1977
20131,1938
20135,1887
20137,1907
20139,1666
20141,1898
20143,1952
20147,1698
20149,1698
20151,1774
20153,1702
20155,1918
20159,1971
20163,1709
20165,1711
20167,1709
20169,1844
20171,1829
20175,1986
20177,2065
20181,1854
20185,1751
20187,1817
20189,1710
20191,1721
20195,1725
20197,1984
20201,1954
20203,1954
20207,1963
21001,2091
21005,1887
21009,2115
21013,1749
21015,2185
21017,2108
21023,1905
21027,1399
21029,1945
21031,1735
21035,1908
21037,1504
21041,1821
21043,1704
21045,1946
21047,2411
21051,1741
21053,2010
21057,1399
21061,1686
21065,1735
21071,1695
21075,1697
21077,1696
21085,1523
21087,1249
21093,1598
21105,2484
21111,1927
21113,1919
21117,1702
21123,1533
21131,1760
21133,1692
21139,1584
21153,1660
21155,2012
21157,1949
21161,2562
21163,1701
21201,1668
21203,1668
21205,1640
21207,1687
21209,1655
21211,1664
21213,1663
21215,1680
21217,1668
21219,1411
21221,1347
21223,1690
21225,1548
21227,1559
21229,1695
21231,1643
21233,1665
21235,1694
21237,1521
21239,1558
22003,1703
22009,1703
22015,1701
22025,1730
22027,1709
22031,1705
22033,1773
22035,1759
22037,1707
22039,1896
22041,1706
22043,1709
22067,2012
22079,1695
22081,1708
22095,1720
22101,1955
22103,1961
22107,1961
22109,1961
22119,1708
22121,1694
22125,1890
23001,1114
23003,1087
23005,1271
23009,1197
23011,1132
23015,811
23021,642
23023,1246
23025,635
23027,676
23031,784
24001,409
24003,409
24005,409
24009,409
24011,409
24013,408
24015,408
24017,408
24019,408
24023,409
24025,409
24027,409
24029,409
24031,409
24033,409
24035,408
24037,409
24043,408
24045,409
25003,645
25005,187
25007,758
25009,647
25011,283
25015,555
25019,553
25021,762
25025,555
26003,956
26031,925
26033,958
26035,2299
26037,2467
26039,955
26041,965
26047,3007
26055,1332
26059,1486
26075,1253
26101,594
26103,595
26105,605
26121,595
26133,658
26137,708
26141,458
26143,654
26147,706
26149,915
26151,765
26155,1024
26159,1021
26161,905
27007,1624
27009,1242
27011,1775
27013,4421
27017,1619
27019,1245
27021,1249
27023,2448
27025,1199
27027,1199
27031,1044
27041,1185
27043,1742
27045,1760
27047,1622
27049,1044
27051,1245
27053,1201
27055,2329
27099,1761
27101,1759
27103,2623
27105,1757
27107,2371
27109,1747
27111,1743
27113,1743
27115,1743
27117,1743
27127,2634
27155,1742
27157,1744
28001,3694
28007,2596
28009,3867
28017,3242
28019,2637
28021,4059
28023,4268
28025,4668
28027,4826
28031,4098
28033,4101
28035,4588
28037,4014
28039,4212
28041,4538
28043,2253
28053,4372
28055,4394
28071,4106
28073,4066
28075,4313
28077,4125
28079,4309
28081,4530
28083,4524
28089,3226
28091,1192
28093,4105
28097,4400
28101,4560
28103,3732
28105,4130
28107,4403
28109,4332
28111,3795
28115,4595
28117,4589
28119,1188
28123,4590
28125,4267
28127,3995
28129,4400
28133,2955
