fips,data
25003,140
25011,2
25015,2
25027,177
25013,224
25017,876
25009,12
25021,687
25025,5
25023,3
25033,1
25005,13
25001,4
44009,326
44007,42
44003,3
44020,31
44008,1
33015,469
33011,1452
33013,1730
33009,120
33001,160
33031,1
23005,5
23031,9
23017,1
23011,163
23019,2
23009,1
23015,1
23013,1
23021,1
23025,1
50027,2
50025,2
50011,1
50001,3
50007,4
50005,1
50023,1
50015,1
50021,1
50019,1
9003,683
9005,52
9015,251
9013,326
9011,101
9007,4
9001,777
9009,250
9100,1
34013,866
34003,233
34031,32
34039,27
34027,470
34017,29
34023,468
34037,495
34025,451
34041,480
34035,3
34001,6
34007,202
34015,343
34005,337
34050,1
34029,33
34033,2
34009,5
34011,1
34021,4
34019,346
36061,11
36085,183
36005,3
36119,72
36071,213
36087,62
36059,1313
36047,423
36081,379
36181,2
36049,1
36004,1
36048,1
36053,2
36103,394
36035,93
36057,3
36091,203
36093,4
36039,1
36021,64
36001,4
36083,120
36111,1
36027,7
36079,2
36105,59
36115,1
36113,1
36019,2
36011,2
36067,3
36075,1
36043,1
36065,157
36007,3
36107,2
36017,1
36023,1
36029,857
36037,5
36121,3
36009,65
36063,891
36073,5
36013,56
36055,9
36051,3
36069,61
36099,2
36117,3
36003,1
36101,4
36015,3
36097,2
42007,47
42003,1702
42125,436
42019,212
42129,878
42059,72
42051,130
42111,198
42009,443
42005,74
42063,3
42033,68
42065,1
42047,2
42021,741
42073,31
42085,5
42031,1
42039,744
42121,2
42049,17
42013,508
42027,888
42061,160
42083,1
42075,372
42014,174
42041,180
42133,316
42001,24
42043,92
42071,1128
42067,1
42099,1
42011,408
42055,2
42017,916
42081,41
42113,41
42097,6
42037,3
42079,571
42093,4
42107,165
42077,387
42095,5
42091,461
42103,4
42089,10
42069,1
42127,4
42131,1
42025,1
42115,1
42015,1
42045,409
42029,962
42101,10
10003,19
10001,187
10005,7
11001,12
24017,10
24033,43
24037,5
24009,4
24031,397
24003,128
24027,43
24021,10
24081,1
24005,384
24025,10
24013,6
24063,3
24015,2
24510,371
24570,1
24050,366
24001,109
24023,78
24041,9
24029,2
24035,2
24047,4
24019,1
24043,4
24014,1
24045,324
51059,280
51061,2
51600,256
51610,153
51107,1
51153,129
51013,8
51510,5
51177,281
51179,8
51197,100
51630,1
51057,1
51097,1
51137,283
51069,16
51840,16
51043,1
51171,2
51047,5
51113,82
51157,1
51165,1
51167,1
51660,1
51139,1
51003,4
51540,4
51065,4
51109,31
51820,1
51085,5
51075,29
51087,8
51073,1
51127,5
51041,273
51004,2
51095,2
51199,291
51830,2
51760,275
51008,1
51036,1
51750,268
51131,1
51550,30
51001,1
51800,1
51810,92
51710,144
51700,7
51650,4
51735,1
51740,77
51053,1
51149,467
51730,2
51670,1
51037,2
51770,117
51067,6
51161,118
51775,111
51023,2
51761,2
51121,7
51063,2
51155,2
51019,7
51191,69
51520,68
51051,1
51173,1
51015,3
51790,2
51163,3
51009,3
51125,3
51031,276
51680,273
51000,1
51011,2
51515,2
51143,17
51590,17
51027,1
51029,1
51083,1
51185,138
54055,67
54025,1
54063,1
54039,180
54087,2
54035,1
54053,1
54079,5
54065,427
54003,3
54037,1
54011,90
54043,1
54059,1
54081,369
54109,1
54051,64
54069,63
54009,2
54073,1
54107,1
54001,7
54041,4
54097,2
54033,312
54083,1
54091,2
54085,1
54049,1
54023,218
54057,4
54027,545
54031,215
54071,214
37057,53
