
Notice: Undefined offset: 1 in /var/www/hack6/chicken-dinner/view/mapZipsToFips.php on line 7

Call Stack:
    0.0029     575168   1. {main}() /var/www/hack6/chicken-dinner/view/mapZipsToFips.php:0

fips,data
41051,808
41067,601
41039,274
21029,520
17043,1146
17089,458
55053,19
55063,235
55081,23
40023,18
34027,806
32003,1123
39057,235
39113,668
31023,13
31037,8
31141,33
31143,11
4013,3121
48029,1867
20091,664
20173,688
20209,441
51700,326
51710,401
25017,1860
25025,2155
56037,104
56043,56
56029,70
36059,1158
36081,330
36103,789
6019,785
6037,6499
24005,612
29510,985
24510,1223
4019,883
25021,522
31019,60
11001,677
53033,2474
9009,1081
48085,1086
48167,257
55009,385
48141,418
48113,2962
51187,23
2220,34
48463,24
36067,366
36087,262
51057,6
51097,13
6107,276
39061,1358
39035,1784
9100,6
9001,1314
39153,827
33017,106
25009,705
22019,284
6045,186
13141,45
13303,10
6010,104
6097,457
6067,946
6061,230
35005,61
17099,98
47065,441
39049,1327
36029,607
30053,11
41029,250
19037,14
19089,20
6013,1030
16049,57
16085,23
36068,72
16013,21
16037,11
36006,4
36061,6186
6059,2060
34019,197
34035,831
48201,4546
9050,231
9003,1241
6029,571
26161,475
37153,46
33015,462
33031,67
13121,1601
6073,1841
13063,234
6459,13
37091,23
24013,98
24027,444
24043,189
25001,313
26121,125
35031,108
35045,88
37023,132
17031,4413
17037,58
1041,56
1011,52
1013,35
48143,30
12111,255
33011,584
6041,341
8005,900
6099,345
22073,233
22079,373
26099,436
26163,1668
12025,1014
12086,1014
33013,347
27053,2673
51760,798
8031,787
45079,645
55079,1086
39045,471
42003,1200
42007,77
39099,435
39129,89
27169,37
42017,663
42091,1322
12095,1232
27037,792
40119,78
12057,1213
34003,963
24003,567
29189,1133
42009,57
51179,100
21017,100
21067,353
21209,79
13035,69
13115,121
13151,177
13155,80
13247,111
13540,19
42011,464
42077,597
37119,1517
48041,224
48395,42
34023,1138
48469,168
40009,35
5119,674
29051,104
29151,59
40101,97
12099,1035
12011,1520
22017,387
8013,366
15003,432
20103,117
48005,34
37063,394
6001,2386
5031,172
48439,2012
37051,418
6085,3221
22033,628
22005,62
48039,241
22057,75
47063,62
47089,76
49035,1188
22051,426
48157,267
6053,435
25015,122
6047,353
49013,18
49047,33
47165,158
6071,1662
18003,494
18033,61
18113,75
37071,193
8059,452
48329,294
9013,137
48303,340
1097,425
50007,208
47010,67
47018,67
47037,888
47187,248
47189,147
45045,660
6109,84
48453,714
48491,215
18097,1024
36119,769
51153,123
6075,849
41071,102
37003,97
37035,314
27123,812
48021,44
48022,25
6017,93
6089,328
42081,155
42113,18
48000,5
48309,311
22065,3
22015,128
22055,401
1055,178
1019,28
53053,510
48473,51
54039,351
47157,881
13095,230
13177,144
37129,98
42109,35
42119,76
45007,301
6111,631
22109,153
27041,42
27051,42
27121,44
18089,644
42079,330
38009,11
38099,9
27017,40
27137,372
25005,513
18005,142
18013,193
18055,65
22081,142
19153,812
55025,642
39151,426
34005,432
29023,35
29181,37
47011,68
47139,44
42089,145
42095,99
12031,677
25027,855
6077,623
6031,130
6095,439
54011,197
54099,49
38015,90
38029,3
42107,108
48135,251
2020,268
12009,353
22071,618
48037,60
5125,101
48099,41
48281,12
29095,997
20177,320
13147,53
51193,9
51195,21
51720,6
51725,6
47163,198
36005,96
51177,55
51197,63
51630,87
46093,14
46103,73
37031,52
37133,206
6101,76
48121,578
42085,173
48245,349
53015,89
29020,41
29133,55
29143,52
29201,61
29207,66
53063,220
12033,234
15009,65
28105,7
29029,87
26045,176
26065,402
6087,259
18057,316
48129,19
48179,26
48393,15
6081,891
54069,147
40083,37
40109,1192
18157,154
55105,272
44007,878
20045,206
48031,19
48053,34
48299,14
45019,736
16057,69
21111,1248
1113,70
1081,226
55091,10
55087,346
22063,74
22069,52
1043,239
1133,40
1127,55
1073,1021
55113,59
55133,317
21145,70
21163,81
21195,81
39053,39
38025,16
38089,46
8041,420
35015,83
42029,628
47001,79
47093,684
36071,225
48139,234
48251,232
48183,253
48203,149
51059,1446
10001,293
31055,387
2170,153
35001,283
42101,1512
23005,253
30111,203
8001,305
13089,435
6065,874
40143,655
32007,41
32035,7
12015,123
19193,237
23019,152
53007,77
6083,376
40031,182
39041,238
17107,25
39095,565
10003,848
17097,996
17111,168
48375,276
51041,174
51159,15
51810,201
17143,288
5023,16
5145,57
5007,382
5143,301
5131,252
5009,43
5101,30
37183,1322
31079,90
31095,75
31121,64
37191,118
27003,298
27059,40
51103,2
47149,224
48302,93
31063,17
31085,12
31087,12
31145,18
42043,458
8075,59
37089,92
37081,717
37021,427
5047,10
5071,56
5005,24
48145,17
17007,85
45050,13
27141,117
27145,135
36017,24
36047,247
31041,55
12199,66
12005,121
45001,90
45047,89
12133,33
54033,216
54049,86
54061,114
54091,90
8123,467
18105,245
18119,14
27163,241
39043,130
39143,114
18081,211
18109,60
39089,192
4021,183
18093,31
18101,26
18117,18
27139,75
39137,78
24031,759
24033,536
17201,367
27083,46
27127,85
39077,81
27007,62
27057,52
38071,25
25013,466
39017,327
25030,23
25040,23
25125,29
36007,252
34017,754
21051,43
21125,46
21199,64
39081,50
26077,154
39063,136
18141,390
18151,34
39021,75
39023,259
39003,205
51730,339
51003,85
