zip,count
97224,11
97227,1
97402,61
40165,44
60510,16
54656,9
74743,17
07058,4
89121,7
45440,10
68601,6
91950,22
85031,83
78209,101
66106,86
22009,2
23510,134
02142,259
82901,20
82935,18
11691,4
11597,25
11710,4
11735,9
11980,4
11772,31
11763,4
11756,24
11801,7
11777,25
11520,19
85201,193
93721,21
91345,9
48343,26
93718,8
92159,2
21235,4
63139,8
21265,5
85722,1
02269,52
75343,15
85714,6
20913,6
68848,12
20019,4
63113,6
98027,13
85212,8
90060,6
06504,19
75002,58
77592,10
85204,4
54311,8
88523,2
75246,22
75226,6
22630,18
99835,27
78802,19
13208,3
22560,6
03802,16
28380,13
20074,1
31119,2
10282,10
93258,23
21290,7
20594,1
87507,29
45202,313
44145,39
06830,6
44312,5
80138,31
02135,38
03822,39
01844,35
44308,13
02143,26
70611,86
95482,61
02138,77
31082,6
95405,83
98151,4
94622,7
92046,47
95661,39
88202,4
61350,30
53244,3
37401,16
43270,2
14265,4
48113,165
59923,11
90401,61
97504,119
50659,5
94531,53
63108,10
85735,1
14218,5
83638,7
13202,72
83340,6
10114,4
20811,3
10173,6
10103,3
10026,3
86426,9
92690,2
08876,54
77402,10
06103,231
94152,1
93257,18
44306,1
90411,150
90023,3
02145,10
02239,182
45212,18
98146,10
79952,1
75264,6
75285,1
85747,1
92194,2
48342,2
37419,1
43227,1
95678,23
48108,21
13206,5
77401,4
10265,3
44325,2
44317,1
21214,7
20355,1
28379,28
13217,1
03801,22
30304,5
20511,1
85744,1
75356,2
85746,2
92182,2
20057,1
85751,1
92132,3
85749,1
02171,53
75382,1
20409,2
37412,15
78801,4
13225,1
03803,53
30320,1
90403,1
10094,4
10116,1
92692,13
44304,11
90052,6
02139,1
98132,4
98029,12
27910,6
86406,30
21784,20
02664,2
20009,1
06497,19
49441,8
87499,26
28690,4
60115,18
36037,26
76401,13
33779,53
91308,18
34986,3
45416,5
45428,1
45441,1
03103,17
94904,8
80044,6
03105,1
03107,37
95307,36
71309,13
48091,4
48150,40
48239,8
33152,1
10031,1
33131,67
48201,262
33165,7
85028,1
94258,1
85097,1
94273,8
77277,3
03101,73
10176,1
94279,3
33124,1
10162,1
10164,1
55455,2
85018,5
23173,163
94257,1
77231,2
97255,1
80263,1
29201,225
94259,2
53201,150
30301,170
29260,1
94262,2
02215,3
33169,6
97272,1
03108,1
98052,78
43085,281
11373,2
11706,15
11550,22
15143,8
43125,28
33010,77
55987,7
08558,40
02493,353
08869,57
19006,8
32789,26
55123,283
78201,30
74074,26
33603,2
98101,739
07074,3
21076,21
63146,5
15001,16
22405,4
40324,54
30253,19
18031,17
16066,16
28231,1
38141,1
77801,37
08854,49
77904,6
74077,1
73344,183
60601,1089
98003,29
73648,5
72117,38
65101,57
74403,19
33410,10
33101,112
71130,9
80502,7
75250,13
96827,13
66048,13
93306,53
75903,6
23501,77
91773,20
15201,44
27701,107
93702,10
94530,28
86429,12
92027,7
77496,30
72402,77
76112,52
94901,43
28301,9
95119,22
94579,56
70802,14
70707,11
94587,71
77584,5
94549,13
70302,23
95382,25
37813,34
84127,122
97440,6
92702,12
70058,11
06477,9
19454,22
77469,11
06030,2
77404,6
93942,16
94513,49
46061,22
92109,32
01035,13
95342,2
47725,12
84066,18
37075,65
92335,66
06901,141
46755,15
92646,44
34711,4
28052,26
34741,41
80214,47
10001,2010
79710,7
76005,77
93290,72
06040,28
79411,8
06082,33
36601,16
01801,53
05452,13
95055,5
37064,67
29601,121
95370,16
78613,33
95357,9
78680,2
46201,412
95402,30
10601,51
22134,42
94120,38
97123,37
90255,30
30012,28
92698,86
75035,41
28601,44
77001,189
77566,30
55102,44
78602,25
95667,35
96002,14
17701,7
92837,6
89120,19
98207,1
75027,2
76702,5
71282,3
71172,38
90740,28
