zip,data
0,7
00000,108
00693,3
01104,11
01108,4
01301,1
01331,175
01351,1
01373,1
01440,1
01569,2
01606,12
01757,340
01824,2
01887,9
01960,1
01969,7
02007,1
02045,1
02050,2
02108,1
02109,3
02322,3
02346,2
02356,1
02360,2
02375,2
02649,1
02703,1
02726,7
02740,2
02760,1
02879,4
02886,12
02903,1
03087,2
03101,1
03106,4
03114,1
03278,1
03301,2
03304,1
03598,73
03782,3
03839,21
04092,46
04210,1
04401,1
05156,1
05255,1
05860,1
06010,1
06042,1
06052,1
06095,1
06096,17
06103,3
06108,20
06119,1
06256,1
06320,2
06331,69
06403,1
06460,2
06468,2
06473,72
06484,1
06492,1
06702,2
06776,2
06795,1
06903,1
07102,1
07105,83
07114,9
07201,2
07206,4
07269,3
07350,1
07428,1
07470,1
07505,1
07510,2
07522,1
07649,1
07712,1
07753,2
07764,2
07819,1
07830,1
08002,1
08053,64
08054,1
08055,1
08215,1
08302,41
08535,36
08544,1
08611,1
08641,1
08753,1
08844,1
08876,1
08902,2
1000,7
10005,3
10007,1
10016,2
10028,16
10566,1
10919,1
10969,1
11030,1
11206,2
11207,1
11378,58
11424,1
11717,1
11719,2
11735,1
12010,4
12030,1
12196,1
123,3
12401,1
12477,1
12601,1
12780,54
13027,7
13031,1
13057,466
13110,17
13141,1
13152,336
13159,42
13224,1
13431,1
13438,18
13440,9
13601,101
13748,1
13795,185
13820,1
13865,5
14004,16
14011,1
14063,1
14075,1
14094,2
14204,1
14206,2
14212,16
14219,3
14304,2
14420,1
14450,1
14612,1
14624,1
14810,1
14843,1
15,1
15052,1
15064,1
15105,2
15106,1
15201,1
15202,1
15209,1
15214,1
15219,1
15229,1
15317,1
15338,1
15342,18
15357,3
15442,1
15531,1
15642,1
15666,35
15824,70
15904,1
16002,1
16033,35
16049,4
16052,1
16057,1
16101,1
16201,1
16301,4
16686,1
16746,2
16748,1
16803,148
17001,14
17015,4
17026,7
17050,2
17067,29
17072,4
17101,3
17103,1
17111,140
17201,94
17202,1
17257,5
17519,1
17545,15
17601,2
18069,99
18237,142
18390,2
18411,5
18424,1
18431,123
18433,1
18614,1
18812,1
18902,1
18929,2
18947,1
18976,134
19007,849
19020,113
19102,5
19106,1
19107,7
19112,2
19380,4
19533,24
19567,60
19801,2
19904,3
19940,1
19963,2
20108,3
20112,1
2040,1
20634,1
20710,1
20723,3
20814,2
20877,3
20879,31
21102,1
21201,1
21202,10
21205,1
21215,2
21613,2
21740,3
21742,6
21788,1
21842,1
22405,17
22603,65
22801,32
22802,26
22827,18
22906,3
22939,61
22960,52
23005,48
23062,190
23111,1
23185,7
23188,463
23219,1
23226,48
23232,1
23237,5
23320,272
23322,1
23434,2
23435,2
23437,1
23450,1
23462,1
23510,16
24012,2
24019,26
24065,25
24066,81
24077,33
24112,1
24151,85
24175,3
24202,65
24210,3
24212,2
24230,13
24281,1
24300,1
24391,1
24401,53
24450,1
24501,182
24506,12
24521,43
24531,508
24540,1
24549,2
24588,56
24592,50
24594,350
24901,1
25050,3
25190,1
25526,35
25550,2
25801,1
26003,1
26060,6
26105,1
26178,3
26370,1
26505,2
26542,1
27021,5
27030,19
27047,2
27215,25
27217,1
27233,62
27239,133
27253,1
27284,1
27292,636
27295,1
27313,3
27314,1
27316,208
27332,113
27349,1
27356,1
27360,371
27401,2
27406,191
27409,1
27429,2
27517,1
27530,1
27540,2
27587,5
27591,28
27603,2
27606,1
27607,3
27705,2
27804,2
27834,2
27893,12
27909,3
27910,2
28008,2
28027,247
28052,1
28056,1
28078,2
28079,4
28082,60
28092,31
28110,6
28115,3
28117,73
28127,2
28134,1
28138,1
28139,2
28146,1
28147,43
28168,2
28201,7
28202,6
28204,3
28205,1
28215,1
28226,2
28247,2
28259,3
28301,2
28327,1
28337,1
28345,2
28358,4
28391,1
28401,2
28409,1
28513,1
28540,2
28580,3
28601,2
28606,1
28625,69
28634,458
28645,8
28659,2
28677,179
28704,16
28715,2
28722,1
28754,1
28779,1
28786,1
28787,1
28791,1
28801,2
28806,21
28813,6
28830,8
28904,1
29006,1
29016,2
29033,1
29072,4
29108,1
29115,4
29129,2
29135,1
29150,3
29172,3
29196,2
29201,5
29203,4
29205,4
29212,5
29230,4
29303,1
29320,1
29360,1
29369,10
29401,2
29403,1
29410,4
29442,1
29451,1
29455,1
29456,28
29461,5
29483,1
29492,1
29501,9
29526,6
29550,1
29565,1
29577,1
29578,1
29601,3
29606,3
29608,3
29609,1
29624,1
29626,1
29630,2
29646,1
29651,1
29672,1
29673,19
29690,1
29730,2
29801,4
29812,1
29902,1
29910,1
29936,1
30007,4
30013,3
30017,1
30024,1
30025,3
30028,1
30032,4
30040,145
30041,3
30045,1
30047,2
30052,1
30062,40
30064,1
30101,1
30115,1
30125,1
30127,2
30135,26
30144,5
30152,1
30153,49
30157,1
30161,1
30165,62
30176,16
30179,2
30215,64
30220,1
30228,1
30233,1
30240,1
30241,1
30248,2
30252,1
30253,132
30263,3
30297,3
30301,3
30303,8
30310,1
30311,1
30315,8
30318,1
30336,70
30337,7
30340,40
30349,4
30350,1
30417,206
30441,1
30458,4
30501,44
30504,91
30506,4
30512,1
30525,1
30527,1
30528,2
30529,135
30540,1
30552,1
30635,1
30677,1
30701,2
30705,8
30747,1
30901,6
30909,1
31005,119
31015,3
31021,5
31061,14
31089,1
31201,5
31206,17
31216,45
31305,3
31313,2
31322,11
31324,14
31401,3
