fips,Population,Housing Units,Water Area,married
72001,19143,6715,0.42,0
72003,97572,37216,0.03,0
72005,59453,22871,0.03,0
72011,39154,14740,0.41,0
72013,86249,33957,1.15,0
72017,23370,8725,0.64,0
72023,49472,24600,1.77,0
72027,46423,16694,0.16,0
72081,34415,12060,0.18,0
72039,19634,6823,0.17,0
72051,34099,13096,0.1,0
72651,34099,13096,0.1,0
72055,21888,8849,0.21,0
72054,12120,4343,0.04,0
72059,23072,8147,0.02,0
72065,38925,13929,0.02,0
72067,16614,6423,0,0
72071,42339,16426,0,0
72073,17318,5591,0,0
72079,26673,11095,0.36,0
72083,11179,4174,0.15,0
72145,64300,22766,0.21,0
72095,12741,4482,0,0
72113,23951,8025,1.05,0
72099,38959,13770,5.08,0
72101,23185,10122,0,0
72103,23753,8875,0.01,0
72105,29902,9828,0.54,0
72107,23844,7946,0.17,0
72109,20152,7677,0.5,0
72069,58181,22261,0.09,0
72123,23887,9075,0.67,0
72129,40997,14594,0.07,0
72133,21665,7569,0.12,0
72147,9106,4388,0.32,0
72149,27913,8465,1.61,0
72151,39246,13688,0.02,0
72127,514120,210372,0.27,0
72021,919,307,0.01,0
72137,81717,29077,0.06,0
25013,456951,186091,8.04,774.1
25003,176721,78482,13.72,324.4
25011,106652,41348,4.04,408.2
25015,148774,57317,4.88,515.8
25027,913323,361220,41.96,990
25017,1303079,513020,24.81,951.3
25025,805271,342571,2.17,1352.1
25100,13346,4548,1.61,0
25009,769547,304226,11.24,611.1
25021,573970,224483,9.19,486.8
25023,400668,161951,21.48,206.1
25005,558751,230367,15.55,555.6
25065,19682,11883,0.08,33.6
25125,53510,24856,0.71,33.6
25030,33828,12973,0.63,0
25040,33828,12973,0.63,0
25050,26062,9161,0.1,0
25033,12412,4554,0.85,0
25001,340628,195688,18.55,570.9
25007,57055,31390,38.8,209.2
25019,9520,9210,1.36,47.9
44009,123546,56816,7.47,190.4
44001,50648,19881,0.25,53.4
44003,184473,77260,3.58,103.8
44007,631947,258127,10.67,845.6
44005,77491,36800,2.6,63.1
44020,26624,11498,0.09,54
44119,18699,9458,1.95,0
44008,20674,8888,0.07,54
33011,375852,147941,10.75,212.8
33015,373997,149921,19.78,230.8
33013,191496,82039,12.91,219.7
33009,85866,46069,14.03,442.7
33001,68558,36879,7.94,0
33003,44205,35235,17.51,206.8
33019,39314,19492,7.76,105.9
33005,83422,36110,22.76,94.4
33007,33068,19388,16.15,210.1
33031,22751,11929,0.92,46.3
33017,103594,42084,4.7,191.4
23031,184798,93486,9.72,205.2
23005,287785,132898,23.37,518.4
23023,35214,16489,2.36,51.3
23017,55368,33101,35.8,159.4
23001,112541,52238,13.78,248
23007,31842,19390,16.45,97
23011,125909,60197,12.88,191
23015,33616,20849,8.36,159.6
23027,46779,23270,13.19,93.8
23019,152476,71208,54.22,129
23021,24819,17271,148.57,54.3
23009,61883,38319,54.29,368
23029,33420,20934,137.08,301.3
23003,76219,39776,26.28,153.1
23025,73879,41800,52.63,269.8
23013,40023,22013,10.59,100.2
50005,45429,22772,8.74,202.2
50027,72346,39002,4.66,363.4
50017,53838,24310,3.5,351.8
50025,48685,30767,4.34,167.8
50003,38616,20247,1.42,188.4
50021,68087,34933,6.99,248.2
50007,156950,63561,3.88,181
50013,6901,4663,0.69,0
50011,46745,19995,16.68,52.8
50001,48480,21033,4.26,51.1
50015,25692,11891,1.48,142
50019,32141,17433,11.38,193.7
50023,59166,28153,4.71,244.6
50115,4474,2186,2.22,0
50009,6459,4762,7.08,143.9
9003,980842,402856,11.3,906.9
9005,216459,94123,22.88,255.2
9013,216142,87994,6.61,243.9
9015,165704,68479,11.65,401.2
9050,761,490,0,25.2
9011,261840,112905,10.35,186.1
9007,262774,110150,5.99,271.4
9001,1197208,476022,13.99,811.1
9103,289,625,0.15,48.7
9009,1055494,435132,10.41,1046
9100,24552,10525,0.28,0
34023,860430,314885,2.65,448.3
34017,733643,281747,0.34,691.2
34013,888268,339739,1.91,728.2
34027,529699,197558,7.52,155.6
34003,976591,370780,4.3,878.8
34031,511950,178545,7.89,510
34039,661624,245009,0.61,687.6
34035,441218,163369,0.93,394.8
34037,169507,66469,13.74,0
34025,695516,273266,3.41,753.6
34041,160407,63555,6.61,54.3
34019,187521,70192,0.74,104.5
34029,531008,256444,8.48,138.4
34033,143583,53589,4.16,280.4
34007,589224,244538,2.17,849.5
34001,379603,160950,14.57,755
34009,152988,109614,1.39,330.6
34005,531060,206004,5.01,470.6
34015,426079,160389,3.11,532.5
34050,30820,11784,0.14,0
34011,150936,54551,6.7,527.8
34021,383226,145159,1.59,332.8
36061,1859651,914592,0.15,1579.4
36067,648396,282543,7.82,812.7
36050,107298,49871,0,72.7
36085,443728,163993,0.03,286.8
36005,1327690,493639,0.21,950.5
36065,319678,135750,10.42,617.6
36003,146191,65397,6.23,296.1
36119,931023,352028,6.1,895.4
36079,126036,45699,13.13,0
36190,16780,6459,0.05,0
36087,393078,137154,5.67,404.7
36007,287418,124941,3.75,443.7
36071,342408,122232,9.66,363.2
36097,86376,38256,3.1,202.4
36059,1757864,614038,2.85,694.7
36081,2218608,808969,0.6,1931.9
36047,2588445,977203,0.62,1326.9
36181,42117,17572,0,49
36049,168236,72416,9.04,243.7
36004,77451,33510,0,52.8
36048,77451,33510,0,52.8
36017,167320,65930,4.27,358.6
36103,1587884,578917,7.8,1190.1
36053,153565,61758,5.01,231.9
36056,42507,12660,0.01,0
36100,12119,4205,0,0
36093,228052,98646,2.81,251.8
36001,394174,174366,4.74,683.7
36035,100377,49253,7.48,314.3
36057,80094,35166,1.68,157.3
36091,302018,130944,5.26,251.4
36039,57617,31248,2.86,617.7
36089,131047,60813,44.12,645.7
36021,91449,41028,5.11,449.1
36083,162164,70113,4.43,144.8
36095,42534,21050,3.75,148.1
36115,91204,40390,6.2,232.8
36041,5619,8642,38.15,100.7
36077,89412,41453,12.69,294.8
36025,87449,47058,5.37,403.4
36092,30057,11692,0.43,0
36111,197877,85037,3.16,743.5
36027,289713,109330,6,345.3
36105,89905,51748,24.98,929.6
36029,1022150,445565,2.5,991.5
36113,44174,29849,24.12,161.9
36973,735,645,5.51,0
36031,51230,31286,33.46,358.7
36019,83232,34992,9.4,295.4
36033,57936,27902,22.54,387
36011,206902,86868,2.82,355.9
36075,137515,60008,7.44,104.5
36023,64976,26958,3.05,97.3
36109,136200,55054,1.59,217.6
36045,131591,64591,47.93,320.2
36117,199415,81052,2.92,159.7
36099,74321,31774,3.13,196.1
36068,5434,2897,0,18
36043,178506,86347,24.5,452
36069,193770,79347,3.7,204.1
36107,99250,43066,1.42,49.1
36037,104930,40186,1.92,98.3
36063,237272,102914,0.41,164.7
36121,86101,32962,2.42,87.4
36009,119042,55149,4.72,349.9
36073,90155,34359,1.67,199.6
36013,145835,67434,2.39,286.7
36051,113468,44874,3.09,216
36055,816186,334603,3.41,736.4
36123,54252,25373,0.49,140.6
36101,124708,58440,4.37,317.1
36015,133304,56331,2.35,437.2
42007,240166,103182,2.47,205
42009,111471,50548,1.62,212.5
42003,1516074,683029,1.17,2576.7
42125,301242,127180,1.46,1224.5
42051,238683,106764,1.62,1001.2
42129,455894,201223,2.6,969
42019,199454,80598,2.77,146.8
42002,31049,13695,0.25,53.6
42033,164732,73471,2.08,519.6
42059,43760,17904,0.53,154.7
42111,126842,58265,5.59,187.5
42057,30199,14494,0.52,43.4
42005,120359,52779,1.51,126.9
42063,122502,51973,0.71,487.9
42065,75365,35906,1.64,208.5
42021,181889,78129,2.52,533.7
42047,43298,24117,0.98,0
42053,10012,13021,0.25,147
42031,56617,31537,0.7,139.7
42023,7310,6328,0.24,0
42083,51512,26143,0.88,92.8
42013,158725,67605,1.4,410.6
42073,148226,59699,2.61,200.7
42121,100908,45442,2.1,264
42085,154958,63875,3.93,337.5
42039,144473,62937,6.44,139.9
42123,69005,34027,0.56,51.3
42049,299673,122441,3.16,313.6
42061,72613,32975,0.38,146.8
42027,154364,60974,0.53,177.4
42105,30122,17937,0.59,45.8
42035,53519,24419,0.88,251.5
42117,56916,27759,2.21,204.3
42015,73560,34935,6.08,48
42081,153917,66019,2.69,200.9
42087,54468,24528,0.2,106.1
42075,178179,71939,0.92,0
42043,315756,137119,10.29,453.5
42099,47429,20719,0.47,40
42041,262963,106796,0.49,150.8
42014,34142,13956,0,0
42133,518821,211547,2.89,121.9
42097,132280,59028,4.54,236
42001,155572,62241,2.09,83.9
42055,151782,62512,1.09,199.3
42067,38534,16869,0.1,0
42071,532154,203713,1.32,189.2
42011,498090,198865,1.46,467.1
42045,707736,279055,0.75,1262.7
42109,56127,22552,0.29,104
42029,517845,195635,1.86,206.4
42017,833440,318061,1.68,390
42113,70238,35275,3.61,148.5
42037,123312,53223,2.36,49.1
42093,85014,34925,0.85,93.3
42119,59117,21402,0.47,100.4
42079,387784,177566,12.16,982.3
42107,194690,88906,5.01,1306.2
42077,448022,181375,0.87,357.5
42025,113438,56991,4.59,344.4
42095,348600,145933,1.13,243.8
42089,179555,90303,9.56,298.9
42091,1164159,467803,1.09,604.4
42103,106986,64753,14.4,0
42127,100530,60569,23.3,192.5
42069,250518,117512,9.36,729
42115,71793,35931,11.1,312.9
42131,61749,27547,6.52,0
42101,1517913,662008,0.58,1512
42191,9608,4577,0,46.1
10003,515355,205567,5.09,611
10005,191511,107798,6.31,153.9
10001,116183,46570,6.35,106.5
11001,566825,273395,0.14,656.8
24017,128931,46960,15.83,309.8
24033,795797,301260,0.53,1085.6
24037,122392,47607,145.64,240
24009,76174,28215,0.52,160.9
24031,1015611,390950,1.01,665.7
24003,557830,212016,2.18,421.7
24027,312339,115573,1.19,162.9
24083,25637,11354,0.16,47.7
