fips,data
25015,14
25013,6
25027,447
25003,2
25017,6
25009,3
25021,31
25023,4
25001,2
25005,7
44009,1
44003,168
33015,143
33011,216
33001,2
33013,30
33019,1
33009,1
33003,179
33017,1
23031,5
23005,1
23011,33
23021,1
23015,1
50025,14
50007,21
50023,183
50001,1
50021,1
50027,2
50019,1
9003,161
9013,4
9015,3
9011,21
9009,24
9007,5
9001,28
9005,2
34013,2
34031,1
34017,1
34025,6
34037,1
34041,2
34027,4
34007,11
34005,196
34009,106
34015,432
34001,398
34011,211
34033,211
34021,1
34029,289
34023,2
34019,1
36119,10
36071,80
36047,1
36059,11
36103,43
36091,4
36083,1
36115,1
36111,162
36027,1
36087,78
36003,3
36033,16
36067,109
36011,5
36023,5
36109,6
36075,3
36043,1
36065,10
36007,1
36025,2
36077,1
36037,284
36121,39
36029,178
36063,30
36073,1
36051,23
36055,275
36069,49
36117,49
36013,2
36101,196
36097,2
42007,146
42009,141
42003,11
42129,365
42125,279
42051,2
42111,3
42005,35
42063,1
42047,1
42021,3
42013,324
42002,1
42019,73
42121,29
42031,2
42073,141
42123,1
42039,24
42049,79
42075,4
42043,223
42099,7
42087,170
42067,37
42055,396
42001,85
42133,128
42071,494
42081,42
42113,3
42035,30
42037,1
42079,32
42109,139
42119,139
42107,25
42077,49
42095,44
42025,23
42089,2
42127,51
42069,1
42115,1
42103,1
42131,31
42015,23
42017,479
42091,83
42045,222
42101,1
42029,279
42011,83
10003,34
10005,15
10001,2
24017,2
24033,14
24037,3
24009,2
24003,283
24027,5
24031,8
24083,1
24025,8
24005,7
24013,6
24015,2
24510,3
24050,2
24001,2
24023,1
24021,4
24011,1
24035,1
24043,1
24014,1
24047,2
51015,2
51059,3
51153,1
51179,35
51103,2
51099,1
51057,8
51097,8
51177,293
51069,1
51840,1
51157,2
51061,1
51139,1
51165,1
51171,1
51003,1
51065,1
51109,1
51085,364
51075,3
51087,58
51004,1
51041,31
51115,1
51145,3
51760,54
51008,1
51036,1
51750,1
51131,1
51093,67
51550,191
51001,1
51810,33
51700,47
51710,1
51199,101
51740,12
51053,1
51025,1
51147,1
51770,171
51067,2
51161,169
51775,9
51023,208
51761,160
51121,1
51155,1
51089,1
51690,1
51167,48
51031,3
51680,3
51019,2
51000,1
51143,230
51011,1
51014,1
51590,1
51083,1
54039,2
54079,2
54065,1
54005,1
54037,2
54003,2
54043,1
54019,2
54081,41
54029,2
54009,1
54105,1
54107,20
54033,1
54049,2
54061,2
54091,1
54023,1
37197,175
37059,174
37097,380
37169,227
37171,2
37067,233
37057,6
37081,112
37157,4
37151,35
37001,1
37051,142
37063,1
37135,108
37033,1
37105,1
37183,204
37187,1
37085,1
37191,3
37101,92
37069,1
37077,1
37181,1
37145,1
37127,1
37065,1
37147,1
37013,45
37083,1
37055,1
37053,2
37000,1
37167,2
37071,4
37045,95
37161,2
37109,4
37076,1
37159,4
37025,4
37119,10
37179,2
37111,539
37125,1
37061,1
37093,1
37129,54
37141,1
37047,1
37019,2
37133,1
37049,2
37003,224
37023,66
37035,439
37189,3
37027,39
37021,5
37089,149
37173,1
37087,4
37113,2
37175,1
37149,1
37039,1
45039,1
45079,105
45055,1
45061,91
45063,225
45071,2
45025,90
45031,90
45017,1
45075,1
45085,20
45073,126
45007,255
45083,170
45015,116
45019,122
45035,11
45033,1
45067,1
45051,242
45043,1
45041,5
45045,36
45050,4
45077,4
45001,1
45047,1
45004,28
45059,2
45023,1
45091,1
45003,2
45245,1
45005,2
45011,2
45037,1
45013,2
13121,206
13067,264
13135,115
13007,2
13057,133
13089,95
13015,3
13223,6
13233,3
13045,3
13143,3
13149,4
13115,2
13097,4
13085,6
13227,5
13035,3
13151,116
13207,1
13217,1
13255,4
13063,113
13113,114
13155,2
13247,1
13540,1
13171,1
13231,3
13077,4
13099,3
13281,5
13111,6
13291,4
13123,3
13119,6
13147,3
13139,199
13187,11
13311,2
13117,3
13213,3
13257,3
13157,3
13011,1
13137,1
13005,2
13059,1
13219,3
13195,1
13221,1
13133,1
13211,1
13237,4
13297,1
13013,2
13313,28
13047,146
13073,3
13245,4
13153,383
13079,381
13225,381
13175,4
13167,3
13319,5
13009,2
13141,2
13169,2
13215,45
13002,25
13021,25
13029,85
13031,1
13051,86
13179,84
13025,1
13069,1
13229,2
13299,1
13039,2
13027,1
13185,55
13075,1
13101,54
13019,1
13173,1
13095,1
13177,1
13273,1
13145,1
12089,3
12023,27
12019,207
12107,58
12109,329
12047,3
12125,2
12031,496
12127,279
12035,2
12121,2
12073,5
12039,109
12005,187
12091,6
12131,2
12063,1
12059,1
12033,8
12113,89
12003,2
12133,1
12001,103
12075,5
12041,26
12083,2
12095,97
12117,66
12069,11
12097,32
12050,2
12009,220
12061,5
12025,21
12086,21
12011,155
12087,13
12026,1
12030,1
12099,670
12199,9
12085,90
12071,581
12053,81
12101,170
12057,1130
12103,15
12105,863
12119,4
12049,6
12055,19
