zip,data
01001,158
01003,136
01005,127
01007,136
01009,98
01011,151
01013,158
01021,158
01027,152
01029,160
01031,111
01033,136
01035,136
01037,111
01039,135
01041,158
01053,135
01057,98
01059,136
01061,136
01063,136
01069,98
01071,174
01073,158
01075,136
01077,158
01079,98
01081,143
01083,143
01085,158
01089,158
01093,135
01095,158
01097,174
01101,158
01103,158
01105,158
01107,158
01109,158
01111,158
01115,158
01119,158
01129,158
02020,46
02050,46
02060,62
02070,152
02090,75
02110,80
02122,80
02130,80
02150,111
02170,62
02180,466
02185,62
02188,62
02201,80
04001,386
04003,0
04005,0
04007,0
04009,0
04011,0
04013,0
04015,0
04017,0
04019,0
04021,0
04027,404
05001,0
05009,0
05031,0
05033,1
05035,0
05037,0
05039,1
05041,1
05043,0
05045,1
05047,0
05049,0
05051,1
05053,0
05055,0
05059,0
05061,1
05065,0
05067,0
05069,1
05071,0
05073,0
05075,0
05077,1
05079,1
05081,1
05083,1
05085,1
05089,0
05091,0
05101,0
05141,0
05143,0
05149,0
06001,107
06011,107
06013,107
06019,145
06021,161
06023,107
06025,107
06027,161
06029,120
06031,83
06033,107
06035,158
06037,107
06039,157
06041,120
06043,120
06045,120
06051,107
06053,107
06057,145
06059,145
06061,145
06063,161
06065,161
06067,107
06069,155
06071,120
06073,107
06075,124
06077,124
06079,157
06081,158
06083,158
06085,107
06087,107
06089,145
06091,161
06093,158
06095,120
06101,107
06103,107
06105,107
06107,107
06109,107
06111,107
06115,107
08001,0
08003,10
08005,0
08007,10
08009,10
08011,10
08014,30
08015,10
08019,0
08021,10
08023,30
08025,10
08027,29
08029,10
08031,10
08033,10
08035,10
08037,0
08039,10
08041,10
08043,10
08045,10
08049,10
08051,10
08053,10
08055,10
08057,10
08059,10
08061,10
08063,10
08065,10
08067,30
08069,30
08071,10
08073,10
08075,10
08077,10
08079,0
08081,10
08083,10
08085,30
08087,0
08089,10
08091,10
08093,10
08095,10
08097,10
08099,10
08101,10
08103,10
08105,10
08107,10
08109,10
10001,224
10003,224
10005,224
11001,223
12007,74
12009,74
12015,77
12017,77
12019,74
12023,74
12027,74
12029,77
12031,36
12033,74
12035,36
12037,77
12041,74
12043,36
12045,74
12047,74
12051,77
12053,36
12055,74
12057,74
12059,74
12061,74
12063,74
12065,74
12067,74
12069,36
12071,36
12073,36
12075,77
12077,74
12083,74
12085,74
12086,36
12087,74
12089,74
12093,36
12095,20
12107,74
12115,77
12117,20
12121,74
12123,77
12125,77
12131,36
12133,74
13021,1
13027,1
13029,0
13031,0
13033,1
13035,0
13037,0
13039,0
13043,0
13045,0
13051,0
13053,0
13057,0
13061,0
13063,0
13065,19
