zip,data
0,20
00000,34
00850,1
00949,42
01001,183
01020,11
01040,1
01056,1
01077,1
01085,68
01104,417
01108,3
01202,1
01331,56
01420,8
01440,1
01453,1
01462,9
01475,1
01501,20
01545,47
01568,2
01588,2
01604,17
01701,10
01702,51
01721,1
01746,1
01752,2
01757,1
01801,1
01803,1
01821,1
01824,1
01841,1
01843,10
01844,12
01880,132
01923,17
01938,1
01940,51
01952,316
01969,20
02019,1
02026,5
02035,129
02038,32
02043,1
02048,2
02050,1
02081,38
02119,12
02150,1
02155,26
02184,17
02346,1
02351,171
02360,38
02364,164
02379,1
02453,1
02458,5
02472,135
02476,46
02630,1
02631,1
02645,1
02744,7
02746,6
02760,1
02769,3
02790,1
02865,1
02876,21
02878,26
02886,14
02888,232
02892,2
02917,1
02919,15
02920,203
02921,10
03051,9
03053,17
03060,99
03063,1
03079,1
03102,1
03103,17
03106,1
03237,1
03244,24
03290,1
03784,3
03811,1
03825,113
03839,121
03853,1
03874,102
04074,28
04087,1
04210,6
04462,1
04743,61
05001,9
05408,2
05445,1
05468,2
05661,1
05853,1
05855,11
06001,39
06033,1
06037,52
06042,2
06051,23
06062,38
06063,1
06066,171
06069,1
06074,2
06084,2
06108,22
06114,75
06237,4
06255,1
06357,58
06365,1
06410,74
06422,1
06441,1
06457,87
06483,1
06492,35
06512,1
06516,13
06517,118
06704,1
06705,261
06759,82
06776,1
06786,124
06790,192
06795,2
06798,1
06810,11
06812,1
06854,1
07001,1
07005,1
07008,2
07013,1
07032,237
07036,19
07047,5
07054,9
07071,37
07072,16
07080,28
07092,10
07095,1
07098,2
07201,35
07208,100
07403,1
07405,22
07407,101
07424,34
07506,39
07604,42
07644,158
07702,19
07722,1
07728,44
07730,1
07753,91
07758,1
07828,89
08012,1
08016,15
08030,3
08043,1
08048,23
08052,45
08053,32
08057,1
08059,9
08062,92
08075,108
08081,1
08085,25
08088,1
08093,46
08096,4
08098,100
08110,10
08210,78
08360,1
08619,39
08638,1
08648,95
08690,1
08701,8
08759,1
08817,4
08822,1
08831,1
08857,426
08867,1
08873,2
10314,29
10455,29
10509,100
10512,26
10523,3
10567,51
10704,1
10901,3
10950,1
10954,57
10990,6
11211,20
11214,129
11223,2
11234,1
11434,5
11558,67
11570,1
11572,2
11598,1
11701,34
11704,30
11719,5
11729,11
11733,2
11735,177
11746,1
11749,3
11779,135
11780,17
11802,12
11933,1
11953,1
12,1
12047,12
12095,1
12110,19
12205,144
12206,96
1230,2
12345,1
12477,1
12522,1
12534,1
12549,14
12550,1
12570,1
12586,44
12590,10
12701,65
12780,290
12901,2
13021,4
13039,117
