zip,data
01001,398
01003,250
01005,579
01007,663
01009,663
01011,240
01013,324
01021,326
01027,252
01029,70
01031,661
01033,323
01035,250
01037,661
01039,250
01041,322
01053,251
01057,663
01059,250
01061,252
01063,252
01069,663
01071,245
01073,255
01075,321
01077,387
01079,663
01081,680
01083,664
01085,245
01089,325
01093,249
01095,663
01097,245
01101,327
01103,327
01105,327
01107,325
01109,327
01111,327
01115,327
01119,327
01129,667
02020,395
02050,397
02060,399
02070,476
02090,411
02110,410
02122,410
02130,411
02150,398
02170,410
02180,403
02185,411
02188,411
02201,410
04001,82
04003,51
04005,72
04007,72
04009,124
04011,51
04013,51
04015,51
04017,51
04019,51
04021,51
04027,91
05001,6
05009,9
05031,6
05033,76
05035,6
05037,6
05039,76
05041,4
05043,78
05045,78
05047,5
05049,6
05051,77
05053,6
05055,5
05059,6
05061,4
05065,5
05067,6
05069,74
05071,6
05073,6
05075,5
05077,4
05079,77
05081,74
05083,78
05085,76
05089,6
05091,6
05101,186
05141,185
05143,7
05149,6
06001,215
06011,218
06013,215
06019,215
06021,147
06023,216
06025,216
06027,146
06029,225
06031,146
06033,216
06035,215
06037,216
06039,74
06041,219
06043,215
06045,219
06051,216
06053,216
06057,147
06059,147
06061,147
06063,147
06065,146
06067,216
06069,148
06071,742
06073,216
06075,682
06077,680
06079,74
06081,216
06083,401
06085,216
06087,216
06089,215
06091,146
06093,212
06095,218
06101,217
06103,217
06105,217
06107,216
06109,216
06111,216
06115,217
08001,1231
08003,1274
08005,1092
08007,1271
08009,1270
08011,1279
08014,1236
08015,1232
08019,1269
08021,1270
08023,1233
08025,1234
08027,1237
08029,1270
08031,1269
08033,1273
08035,1271
08037,1264
08039,1234
08041,1241
08043,1273
08045,1273
08049,1271
08051,1272
08053,1276
08055,1277
08057,1276
08059,1270
08061,1273
08063,1270
08065,1274
08067,1235
08069,1233
08071,1272
08073,1280
08075,1277
08077,1274
08079,248
08081,1270
08083,1270
08085,1236
08087,1128
08089,1269
08091,1270
08093,1269
08095,1269
08097,1269
08099,1269
08101,1272
08103,1273
08105,1274
08107,1273
08109,1274
10001,243
10003,243
10005,243
11001,207
12007,7
12009,6
12015,4
12017,40
12019,6
12023,8
12027,6
12029,21
12031,7
12033,7
12035,8
12037,7
12041,7
12043,8
12045,7
12047,7
12051,8
12053,7
12055,8
12057,7
12059,7
