fips,data
25003,1
25017,17
44007,6
44020,6
33015,4
33011,56
33013,56
9003,3
9011,10
9001,12
9009,5
9005,1
34013,50
34039,1
34025,25
34027,44
34005,4
34015,6
34023,37
36085,30
36047,18
36081,24
36059,40
36103,9
36091,5
36021,10
36063,51
36029,32
42003,29
42051,3
42129,26
42021,5
42013,9
42014,3
42041,3
42133,3
42071,3
42075,3
42079,19
42017,29
42045,1
42091,1
10003,6
24003,1
24063,1
24005,20
24050,20
24510,20
51059,11
51600,10
51610,10
51153,4
51137,5
51177,5
51075,6
51109,6
51041,4
51750,4
51760,4
51550,1
51700,1
51710,1
51199,1
51740,1
51149,17
51185,1
54065,4
37067,8
37081,6
37151,1
37037,1
37183,1
37191,26
37147,17
37167,29
37119,35
37025,1
37071,17
37097,18
37109,2
37031,1
37003,22
37023,6
37035,22
45061,23
45085,23
45083,14
45007,35
45073,35
45091,2
13121,41
13067,244
13135,227
13015,7
13223,7
13063,33
13113,33
13035,1
13115,1
13151,1
13155,1
13247,1
13540,1
13111,5
13291,5
13011,7
13119,7
13137,7
13257,7
13079,26
13153,26
13225,26
13021,1
13207,1
13051,1
13127,4
12109,33
12127,51
12031,1
12073,8
12033,2
12113,2
12001,15
12069,32
12095,96
12050,13
12117,50
12009,5
12025,219
12086,219
12011,241
12087,137
12099,148
12085,31
12057,77
12103,2
12105,59
12097,45
12015,76
12101,16
12111,3
1073,59
1075,6
1093,6
1079,37
1103,37
1077,32
1033,2
1089,32
1019,1
1053,38
1003,50
1097,29
1037,29
1081,4
1017,4
47037,40
47003,20
47179,9
47001,14
47089,21
47093,21
47155,21
47009,27
47007,9
47035,9
28033,26
28008,15
28089,15
21111,1
21185,1
21011,2
21049,18
21073,2
21173,2
21113,2
21067,16
39041,2
39049,2
39123,64
39095,31
39035,64
39103,1
39155,15
39043,45
39061,23
39167,1
39063,49
39137,3
18057,13
18089,12
18163,12
26099,2
26125,25
26163,18
26115,8
26087,2
26151,2
26065,16
26077,85
26159,59
26005,10
26075,2
26107,19
26081,1
26105,1
26109,1
19117,3
19125,3
19135,3
19185,3
19121,1
19019,1
19037,1
19089,1
55079,45
55089,48
55131,45
55055,1
55105,31
55127,34
55103,1
55043,2
55109,2
55009,21
55087,38
55015,3
55137,10
55139,20
27037,1
27139,1
27049,24
27019,4
27053,9
27171,4
27109,27
27123,27
27067,8
27009,26
27141,26
27145,26
27035,1
27007,7
27057,7
17031,6
17043,56
17089,27
17197,16
17199,6
29071,16
29189,8
29510,1
29095,13
29175,1
20001,6
20133,6
20205,6
20207,6
31109,1
31083,1
31137,1
22051,21
22103,6
22055,48
22033,13
5023,2
5145,2
40109,1
40119,34
40143,16
40101,3
40145,3
40079,1
48085,15
48397,14
48113,998
48121,363
48257,12
48139,9
48239,9
48349,9
48159,5
48343,5
48449,5
48423,48
48001,2
48213,2
48467,2
48439,55
48251,3
48367,173
48097,93
48337,90
48497,90
48145,6
48309,6
48201,170
48339,47
48157,5
48473,5
48167,16
48245,28
48041,7
48029,84
48259,13
48091,83
48187,83
48215,23
48491,24
48493,24
48453,7
48303,1
48441,16
8059,12
8031,14
8001,3
8013,1
8069,1
8101,4
8041,4
16027,16
16028,16
16045,16
16075,16
49051,1
49013,1
49047,1
4027,1
4013,71
4019,11
4025,2
32003,50
32029,14
32031,14
6037,336
6059,36
6111,21
6073,21
6065,7
6071,36
6083,14
6039,19
6019,19
6053,4
6001,60
6085,7
6077,36
6097,2
6041,2
6067,58
6061,7
6115,6
6007,11
41047,15
41029,1
41017,8
53033,78
53035,6
53053,58
53061,57
53045,5
53015,8
53011,2
53025,1
53077,3
53063,1
53005,8
53039,8
2240,1
