zip,data
04001,20
04003,20
04005,20
04007,20
04009,20
04011,20
04013,20
04015,20
04017,20
04019,20
04021,20
04027,20
08001,1
08003,1
08007,1
08009,1
08011,1
08014,1
08015,1
08021,1
08023,1
08025,1
08027,1
08029,1
08031,1
08033,1
08035,1
08037,1
08039,1
08041,1
08043,1
08045,1
08049,1
08051,1
08053,1
08055,1
08057,1
08059,1
08061,1
08063,1
08065,1
08067,1
08069,1
08071,1
08073,1
08075,1
08077,1
08079,1
08081,1
08083,1
08085,1
08089,1
08091,1
08093,1
08095,1
08097,1
08099,1
08101,1
08103,1
08105,1
08107,1
08109,1
10001,1
10003,1
10005,1
11001,1
12007,1
12009,1
12015,1
12019,1
12023,1
12027,1
12029,1
12031,1
12033,1
12035,1
12037,1
12041,1
12043,1
12045,1
12047,1
12051,1
12053,1
12055,1
12057,1
12059,1
12061,1
12063,1
12065,1
12067,1
12069,1
12071,1
12073,1
12075,1
12077,1
12083,1
12085,1
12086,1
12087,1
12089,1
12095,1
12107,1
12115,1
12117,1
12121,1
12123,1
12125,1
12131,1
12133,1
13045,1
13053,1
13073,1
13077,1
13087,1
13101,1
13141,1
13155,1
13317,1
17001,4
17003,4
17007,4
17011,4
17013,4
17015,4
17019,4
17021,4
17023,4
17025,4
17027,4
17029,4
17033,4
17035,4
17037,4
17041,4
17043,4
17045,4
17047,4
17049,4
17051,4
17053,4
17055,4
17057,4
17059,4
17065,4
17069,4
17071,4
17075,4
17081,4
17089,4
17093,4
17101,4
17103,4
17105,4
17107,4
17109,4
17111,4
17113,4
17121,4
17123,4
17125,4
17127,4
17129,4
17177,4
17201,4
18001,1
18003,1
18011,1
18013,1
18015,1
18017,1
18025,1
18031,1
18035,1
18037,1
18039,1
18041,1
18043,1
18045,1
18049,1
18051,1
18053,1
18055,1
18059,1
18063,1
18065,1
18067,1
18069,1
18071,1
18073,1
18077,1
18079,1
18081,1
18083,1
18085,1
18087,1
18091,1
18099,1
18101,1
18103,1
18105,1
18109,1
19001,1
19003,1
19007,1
19009,1
19013,1
19015,1
19017,1
19019,1
19021,1
19023,1
19025,1
19027,1
19029,1
19031,1
19033,1
19035,1
19037,1
19039,1
19041,1
19043,1
19047,1
19049,1
19053,1
19055,1
19057,1
19061,1
19063,1
19065,1
19067,1
19073,1
19075,1
19079,1
19081,1
19083,1
19085,1
19087,1
19089,1
19091,1
19093,1
19095,1
19099,1
19101,1
19103,1
19105,1
19107,1
19109,1
19111,1
19113,1
19115,1
19119,1
19121,1
19123,1
19125,1
19127,1
19129,1
19131,1
19133,1
19135,1
19137,1
19139,1
19141,1
19143,1
19145,1
19147,1
19149,1
19151,1
19153,1
19155,1
19161,1
19171,1
19173,1
19175,1
19177,1
19179,1
19181,1
19183,1
19185,1
19187,1
19191,1
19193,1
19195,1
19197,1
