zip,data
0,164
01002,1
01005,52
01020,1
01030,3
01040,1
01075,1
01077,1
01085,1
01095,1
01109,153
01119,63
01201,137
01225,1
01235,1
01339,1
01420,1
01452,3
01535,1
01545,1
01585,2
01605,113
01720,1
01747,1
01749,1
01754,1
01757,1
01772,1
01776,1
01801,1
01803,1
01824,1
01826,1
01844,3
01845,1
01854,1
01862,413
01863,318
01867,1
01876,1
01887,1
01890,1
01902,1
01915,1
01930,1
01950,1
01960,1
01970,2
02019,69
02021,2
02035,611
02093,1
02109,1
02124,1
02127,1
02143,125
02155,1
02169,2
02180,2
02188,1
02189,1
02301,171
02324,1
02341,1
02356,1
02375,1
02446,1
02474,1
02482,1
02632,2
02673,2
02718,1
02719,2
02724,2
02726,1
02760,2
02764,1
02769,1
02770,1
02808,1
02813,1
02814,1
02818,1
02831,1
02852,324
02861,31
02888,1
02893,1
02908,1
02910,1
02919,1
02920,2
02921,3
03038,2
03045,1
03051,1
03053,1
03054,41
03079,2
03087,127
03102,144
03103,272
03106,991
03229,1
03251,1
03253,160
03275,577
03301,16
03303,1
03449,1
03766,119
03801,1
03833,1
03862,60
03873,3
04011,1
04040,1
04042,1
04047,1
04055,2
04061,7
04084,1
04270,1
04330,161
04345,1
04401,1
04474,1
04568,1
04862,1
04901,1
04942,1
05068,1
05301,2
05450,1
05462,1
05473,2
05489,1
05658,1
05672,1
05701,1
05855,1
06001,1
06010,1
06013,1
06032,1
06057,6
06070,1
06076,249
06082,128
06084,1
06090,1
06092,1
06095,2
06098,11
06108,185
06119,1
06120,106
06237,75
06238,1
06260,1
06331,1
06339,1
06340,97
06350,1
06360,1
06379,1
06405,57
06422,1
06424,1
06457,1
06470,2
06472,1
06473,1
06479,1
06484,1
06489,1
06492,1
06511,149
06512,1
06610,1
06705,31
06712,1
06716,2
06757,1
06779,1
06786,1
06798,1
06804,97
06810,141
06811,312
06812,1
06830,1
06870,1
06877,1
06896,1
06902,7
06907,1
07003,1
07010,3
07013,2
07033,1
07036,2
07045,3
07052,1
07055,28
07057,1
07065,1
07067,1
07068,1
07070,1
07080,1
07083,18
07086,1
07090,1
07095,1
07109,862
07201,1
07203,1
07305,1
07407,4
07424,1
07436,2
07444,3
07446,1
07461,68
07481,1
07502,1
07601,1
07607,1
07621,1
07643,1
07647,27
07662,188
07666,1
07676,1
07701,1
07712,1
07726,1
07728,3
07731,1
07740,1
07747,2
07748,297
07753,139
07764,2
07821,418
07828,1
