zip,data
01001,140
01003,139
01005,335
01007,140
01009,137
01011,122
01013,139
01021,139
01027,144
01029,117
01031,301
01033,139
01035,139
01037,301
01039,117
01041,139
01053,117
01057,137
01059,139
01061,139
01063,139
01069,137
01071,145
01073,139
01075,139
01077,140
01079,137
01081,232
01083,227
01085,140
01089,140
01093,117
01095,140
01097,145
01101,140
01103,140
01105,140
01107,140
01109,140
01111,140
01115,140
01119,140
01129,140
02020,95
02050,95
02060,290
02070,397
02090,349
02110,317
02122,317
02130,317
02150,349
02170,290
02180,791
02185,343
02188,290
02201,317
04001,476
04003,19
04005,2
04007,2
04009,2
04011,19
04013,19
04015,19
04017,19
04019,19
04021,19
04027,532
05001,1
05009,1
05031,1
05033,1
05035,1
05037,1
05039,1
05041,1
05043,1
05045,1
05047,1
05049,1
05051,1
05053,1
05055,1
05059,1
05061,1
05065,1
05067,1
05069,1
05071,1
05073,1
05075,1
05077,1
05079,1
05081,1
05083,1
05085,1
05089,1
05091,1
05101,2
05141,2
05143,2
05149,1
06001,203
06011,202
06013,202
06019,206
06021,204
06023,208
06025,144
06027,212
06029,149
06031,111
06033,144
06035,147
06037,208
06039,136
06041,149
06043,149
06045,149
06051,208
06053,208
06057,205
06059,207
06061,206
06063,212
06065,212
06067,209
06069,130
06071,143
06073,144
06075,145
06077,145
06079,136
06081,147
06083,147
06085,202
06087,202
06089,206
06091,212
06093,147
06095,149
06101,208
06103,208
06105,208
06107,209
06109,209
06111,209
06115,208
08001,745
08003,591
08005,440
08007,928
08009,403
08011,745
08014,916
08015,741
08019,470
08021,403
08023,885
08025,795
08027,916
08029,877
08031,928
08033,928
08035,928
08037,349
08039,795
08041,745
08043,477
08045,928
08049,928
08051,878
08053,515
08055,514
08057,775
08059,928
08061,909
08063,877
08065,933
08067,885
08069,885
08071,795
08073,859
08075,776
08077,932
08079,745
08081,458
08083,897
08085,885
08087,356
08089,403
08091,426
08093,928
08095,457
08097,909
08099,928
08101,929
08103,929
08105,929
08107,928
08109,929
10001,1870
10003,1870
10005,1870
11001,1466
12007,47
12009,47
12015,49
12017,51
12019,47
12023,47
12027,47
12029,51
12031,44
12033,48
12035,44
12037,50
12041,47
12043,44
12045,48
12047,48
12051,49
12053,44
12055,47
12057,48
12059,47
12061,48
12063,48
12065,48
12067,47
12069,44
12071,44
12073,44
12075,50
12077,48
12083,47
12085,47
12086,44
12087,47
12089,48
12093,44
12095,39
12107,47
12115,50
12117,39
12121,48
12123,50
12125,51
12131,44
12133,48
13021,0
13027,0
13029,0
13031,0
13033,0
13035,0
13037,0
13039,0
13043,0
13045,0
13051,0
13053,0
13057,0
13061,0
13063,0
13065,6
13069,0
13071,0
13073,0
13077,0
13081,6
13083,0
13087,0
13089,0
13093,0
13101,0
13103,0
13107,0
13111,0
13113,0
13115,0
13117,6
13119,0
13121,0
13123,0
13131,0
13135,0
13137,0
13139,6
13141,0
13143,6
13145,0
13147,0
13153,0
13155,0
13157,0
13159,0
13163,0
13165,6
13167,0
13201,0
13205,0
13207,0
13209,0
13211,0
13215,0
13217,0
13219,0
13221,0
13225,0
13235,0
13251,0
13261,0
13301,0
13303,0
13305,0
13309,0
13313,0
13315,0
13317,39
13319,0
13321,0
15001,761
15003,831
15007,777
15009,759
16001,737
16003,788
16017,688
16021,687
16023,753
16025,596
16027,810
16029,786
16033,831
16035,687
16037,761
16039,754
16041,525
16045,810
16049,629
16051,1045
16053,810
16055,864
16057,688
16059,777
16061,885
16063,761
17001,192
17003,612
17005,194
17007,185
17009,408
17011,192
17013,238
17015,185
17017,194
17019,186
17021,689
17023,194
17025,185
17027,192
17029,419
17033,529
17035,418
17037,440
17039,648
17041,612
17043,192
17045,448
17047,440
17049,365
17051,690
17053,185
17055,185
17057,529
17059,365
17061,194
17063,325
17065,185
17067,648
17069,185
17071,689
17073,648
17075,728
17077,612
17081,174
17083,613
17085,616
17087,648
17089,192
17093,192
17097,201
17099,408
17101,192
17103,192
17105,192
17107,192
17109,192
17111,529
17113,192
17121,192
17123,192
17125,192
17127,192
17129,192
17177,192
17201,606
18001,1251
18003,1251
18011,709
18013,1055
18015,1251
18017,1251
18025,1254
18031,971
18035,1173
18037,1180
18039,1200
18041,781
18043,1102
18045,1095
18049,696
18051,927
18053,804
18055,1132
18059,1173
18063,1099
18065,884
18067,1173
18069,914
18071,833
18073,782
18077,1200
18079,884
18081,1132
18083,1099
18085,1099
18087,929
18091,844
18099,992
18101,1254
18103,1254
18105,1254
18109,1251
19001,1075
19003,936
19007,860
19009,1075
19013,916
19015,917
19017,873
19019,1075
19021,860
19023,936
19025,939
19027,932
19029,861
19031,940
19033,862
19035,936
19037,862
19039,873
19041,936
19043,885
19047,1156
19049,860
19053,1197
19055,860
19057,860
19061,927
19063,873
19065,862
19067,1302
19073,896
19075,939
19079,885
19081,862
19083,936
19085,936
19087,947
19089,947
19091,862
19093,936
19095,939
19099,936
19101,929
19103,936
19105,936
19107,936
19109,929
19111,932
19113,861
19115,1075
19119,936
19121,936
19123,929
19125,929
19127,936
19129,936
19131,936
19133,929
19135,933
19137,929
19139,936
19141,936
19143,936
19145,936
19147,929
19149,932
19151,936
19153,885
19155,1113
19161,932
19171,936
19173,936
19175,929
19177,929
19179,936
19181,929
19183,936
19185,928
19187,936
19191,936
19193,936
19195,936
19197,936
20001,343
20003,343
20005,343
20007,343
20009,343
20011,343
20013,343
20015,343
20017,343
20019,343
20023,343
20027,343
20029,343
20033,343
20035,343
20037,343
20039,343
20041,274
20043,343
20045,343
20047,343
20049,343
20051,343
20053,343
20055,343
20057,343
20059,343
20061,343
20063,343
20065,343
20067,343
20069,246
20071,343
20073,343
20075,343
20077,343
20081,343
20091,343
20097,343
20101,272
20103,272
20105,242
20107,263
20109,299
20111,299
20113,299
20115,306
20117,475
20119,241
20121,299
20129,476
20131,475
20135,475
20137,306
20139,242
20141,475
20143,327
20147,272
20149,272
20151,265
20153,245
20155,306
20159,475
20163,272
20165,272
20167,272
20169,306
20171,274
20175,475
20177,497
20181,278
20185,304
20187,278
20189,272
20191,272
20195,272
20197,476
20201,343
20203,343
20207,343
21001,656
21005,625
21009,656
21013,420
21015,696
21017,656
21023,426
21027,344
21029,337
21031,414
21035,337
21037,240
21041,379
21043,295
21045,337
