zip,data
01201,1
01863,17
02861,6
03087,4
03102,1
03106,55
06082,1
06120,2
06340,10
06511,4
06705,1
06811,8
07090,1
07109,49
07748,18
07753,7
07852,44
08088,4
08096,6
08840,37
10304,30
11218,18
11414,12
11428,12
11706,8
11758,31
11769,1
11771,1
12065,5
12106,10
14094,19
14120,32
15084,3
15456,3
15642,26
15906,5
16601,5
16635,4
17011,3
17545,3
18702,19
18901,17
19020,12
19082,1
19468,1
19805,6
21122,1
21236,20
22046,10
22151,1
22192,4
22567,5
23117,6
23235,4
23323,1
23510,1
23692,1
23704,1
23875,17
24605,1
25411,4
27103,7
27105,1
27235,1
27262,1
27405,4
27502,1
27530,26
27537,14
27858,17
28001,29
28027,2
28031,3
28036,1
28056,7
28080,2
28098,5
28105,11
28117,61
28147,1
28208,20
28516,1
28601,5
28619,1
28677,17
29150,23
29316,14
29678,35
29730,2
30043,16
30047,9
30060,227
30062,16
30076,16
30080,1
30094,547
30120,7
30165,11
30189,1
30214,33
30253,1
30461,22
30504,31
30512,5
30577,7
31008,26
31210,1
31220,141
31406,1
31520,4
31546,15
31721,16
32084,32
32117,5
32174,1
32177,8
32246,21
32259,1
32303,8
32506,2
32615,15
32720,19
32726,13
32732,1
32750,44
32771,4
32779,1
32803,1
32804,35
32814,1
32817,39
32825,1
32837,1
32922,3
32949,2
33016,4
33024,52
33037,137
33064,77
33071,1
33111,1
33126,57
33138,1
33155,16
33169,54
33170,54
33178,31
33179,1
33311,111
33409,38
33458,1
33469,30
33484,2
33487,1
33543,6
33613,62
33619,15
33702,2
33761,117
33764,37
33801,14
33853,45
33950,76
33966,20
33967,2
34109,35
34448,31
34638,1
34668,16
34741,6
34744,60
34787,12
34982,3
35020,6
35209,53
35570,6
35601,37
35630,31
35633,1
35674,2
35803,32
35983,1
36526,38
36542,12
36693,29
36854,4
37115,20
37203,20
37604,9
37716,14
37764,21
37777,27
38555,9
38654,26
39157,15
40059,1
40353,2
40356,2
40509,16
42503,21
43035,2
43229,2
43452,64
43537,31
44142,51
44146,13
44212,1
44446,15
44839,45
45247,23
45750,1
45840,49
45875,3
46074,13
46323,12
47129,22
47715,12
48035,2
48050,1
48051,6
48114,32
48127,16
48146,2
48161,8
48302,16
48446,2
48471,2
48854,16
49001,36
49009,49
49048,2
49090,10
49254,2
49332,19
49431,1
49858,1
50049,3
50273,1
50644,1
50659,1
53012,36
53038,1
53045,29
53074,3
53095,9
53114,31
53147,3
53154,1
53189,24
53223,8
53581,1
53812,2
54016,2
54115,18
54130,3
54901,10
54904,10
54913,17
54937,15
55044,1
55066,24
55328,4
55343,5
55901,27
56201,8
56304,26
56425,1
56601,7
60067,1
60120,5
60185,22
60441,16
60515,29
62948,6
63005,7
63090,9
63121,1
64030,1
64145,12
65239,1
66720,6
68430,1
68949,1
70058,8
70065,13
70458,6
70508,48
70816,13
72034,1
72143,2
72762,1
73149,1
74074,34
74114,1
74115,15
74401,3
74953,1
75023,1
75032,2
75061,4
75067,264
75074,14
75087,12
75110,9
75238,706
75246,4
75402,7
75455,5
75701,48
75734,4
75751,2
76011,1
76015,3
76028,3
76051,8
76086,173
76116,17
76117,10
76140,13
76205,9
76234,90
76240,3
76706,6
77002,4
77034,41
77037,25
77070,11
77074,48
77301,47
77346,1
77406,1
77450,5
77504,2
77505,7
77523,1
77568,16
77598,3
77707,28
77840,7
78006,13
78130,13
78154,70
78242,1
78577,23
78626,24
78753,7
79424,1
79603,16
80214,11
80229,3
80301,1
80538,1
80909,4
83605,16
84032,1
84066,1
85013,1
85019,21
85032,2
85034,18
85209,21
85210,1
85225,12
85257,3
85308,11
85338,2
85381,15
85705,1
85710,10
86314,2
86409,15
86429,7
89002,1
89015,15
89113,17
89122,3
89130,15
89148,1
89511,14
90278,25
90605,78
90630,1
90703,1
90706,2
90710,8
90723,19
90807,33
91350,1
91362,1
91384,19
91387,1
91505,1
91601,3
91722,141
91745,1
91776,2
91911,34
91945,2
91977,1
92008,1
92020,3
92026,9
92029,1
92037,1
92081,9
92104,1
92123,6
92220,2
92223,5
92316,1
92335,30
92392,5
92562,47
92570,34
92618,7
92627,1
92649,1
92880,6
93003,8
93065,12
93117,6
93710,19
93906,4
94541,60
94588,16
95124,7
95304,36
95404,2
95624,23
95661,7
95823,18
95841,10
95901,6
95928,5
97385,15
97520,1
97701,8
98001,8
98002,3
98007,5
98022,1
98027,5
98037,42
98072,14
98204,1
98271,1
98274,24
98312,5
98424,52
98632,8
98662,2
98837,1
98902,3
99016,1
99224,13
99338,12
99350,8
99732,1
