zip,data
01001,1027
01003,1006
01005,1533
01007,1080
01009,990
01011,1012
01013,1023
01021,1025
01027,1039
01029,987
01031,1547
01033,1011
01035,1005
01037,1548
01039,951
01041,1022
01053,952
01057,1001
01059,1006
01061,1004
01063,1006
01069,995
01071,958
01073,1019
01075,1012
01077,928
01079,993
01081,1588
01083,1499
01085,925
01089,1024
01093,951
01095,1094
01097,956
01101,1024
01103,1024
01105,1024
01107,1024
01109,1024
01111,1024
01115,1024
01119,1024
01129,1025
02020,1328
02050,1338
02060,1554
02070,1948
02090,2010
02110,1985
02122,1987
02130,1991
02150,2057
02170,1701
02180,2192
02185,1925
02188,1654
02201,1985
04001,1046
04003,152
04005,68
04007,68
04009,167
04011,153
04013,152
04015,152
04017,152
04019,152
04021,152
04027,1371
05001,283
05009,301
05031,124
05033,283
05035,121
05037,285
05039,286
05041,126
05043,284
05045,284
05047,284
05049,285
05051,282
05053,283
05055,284
05059,283
05061,125
05065,284
05067,283
05069,124
05071,125
05073,283
05075,284
05077,126
05079,286
05081,283
05083,283
05085,282
05089,285
05091,122
05101,126
05141,125
05143,126
05149,125
06001,1441
06011,1443
06013,1442
06019,1536
06021,1371
06023,1523
06025,1178
06027,1367
06029,1215
06031,1381
06033,1178
06035,1223
06037,1521
06039,1651
06041,1113
06043,1215
06045,1113
06051,1521
06053,1521
06057,1536
06059,1533
06061,1537
06063,1568
06065,1567
06067,1522
06069,1790
06071,1016
06073,1178
06075,1117
06077,1114
06079,1650
06081,1223
06083,1222
06085,1441
06087,1441
06089,1537
06091,1367
06093,1065
06095,1208
06101,1381
06103,1522
06105,1523
06107,1524
06109,1522
06111,1522
06115,1522
08001,2008
08003,2475
08005,1319
08007,2867
08009,1601
08011,2247
08014,2702
08015,2043
08019,1483
08021,1605
08023,2351
08025,2094
08027,2700
08029,2705
08031,2863
08033,2871
08035,2869
08037,1401
08039,2095
08041,2150
08043,1877
08045,2867
08049,2865
08051,2348
08053,1974
08055,1970
08057,2713
08059,2862
08061,2694
08063,2671
08065,2908
08067,2358
08069,2348
08071,2098
08073,2910
08075,2716
08077,2908
08079,1846
08081,1732
08083,2519
08085,2354
08087,1094
08089,1482
08091,1716
08093,2832
08095,1609
08097,2695
08099,2863
08101,2865
08103,2867
08105,2873
08107,2869
08109,2873
10001,3855
10003,3854
10005,3853
11001,3142
12007,395
12009,396
12015,311
12017,481
12019,397
12023,394
12027,397
12029,482
12031,456
12033,396
12035,300
12037,326
12041,397
12043,456
12045,395
12047,399
12051,313
12053,300
12055,394
12057,398
12059,395
12061,396
12063,396
12065,398
12067,397
12069,302
12071,299
12073,299
12075,320
12077,396
12083,395
12085,396
12086,302
12087,395
12089,399
12093,178
12095,425
12107,395
12115,313
12117,268
12121,399
12123,403
12125,480
12131,298
12133,399
13021,9
13027,7
13029,164
13031,7
13033,9
13035,164
13037,164
13039,165
13043,164
13045,13
13051,165
13053,14
13057,165
13061,163
13063,166
13065,50
13069,7
13071,17
13073,15
13077,11
13081,51
13083,3
13087,10
13089,164
13093,6
13101,12
13103,163
13107,162
13111,10
13113,9
13115,7
13117,44
13119,10
13121,6
13123,163
13131,161
13135,7
13137,9
13139,49
13141,9
13143,45
13145,3
13147,12
13153,9
13155,165
13157,163
13159,166
13163,163
13165,49
13167,163
13201,166
13205,166
13207,166
13209,164
13211,165
13215,166
13217,166
13219,166
13221,166
13225,165
13235,166
13251,165
13261,166
13301,160
13303,162
13305,0
13309,161
13313,162
13315,162
13317,302
13319,162
13321,162
15001,1554
15003,1625
15007,1413
15009,1405
16001,1406
16003,1442
16017,1308
16021,1315
16023,1330
16025,1176
16027,1491
16029,1441
16033,1565
16035,1310
16037,1509
16039,1336
16041,1094
16045,1479
16049,1117
