fips,data
23005,20
36061,1
36091,1
36007,1
42001,4
42041,4
42091,1
24017,1
24031,2
24003,1
24027,2
24033,1
24083,1
24005,1
24510,1
51041,20
51053,20
51149,20
51730,20
37057,2
37067,2
37081,2
37099,1
37161,1
45019,1
45035,1
45051,35
13089,1
13191,1
12091,1
12131,1
12117,10
12009,1
12087,2
12011,11
12030,5
12105,1
12081,97
12115,98
47147,1
47165,1
47157,1
28053,1
28163,1
28047,1
26123,1
19103,1
19113,1
55137,1
55139,1
17031,1
17097,1
17043,1
17091,1
17179,17
17203,17
20209,2
31041,1
31007,1
31105,1
31201,1
22057,1
22109,1
22103,1
22039,1
5045,1
5001,1
5007,1
5143,1
40027,1
40029,1
40109,1
40147,1
40037,1
40081,1
40119,1
40143,1
40071,1
40113,1
48439,49
48121,1
48217,1
48293,1
48309,1
48201,2
48029,1
48315,1
48355,1
48055,1
48209,1
48453,1
48491,2
48129,11
48179,11
48393,11
8027,1
56005,1
56037,1
56043,1
4013,1
4001,1
32003,1
6037,2
6071,1
6079,1
6041,1
6097,1
6007,1
41029,1
53033,13
53061,1
53007,1
