zip,data
0,52
01005,5
01109,1
01119,13
01201,3
01339,1
01585,1
01863,166
02019,1
02035,88
02301,3
02341,1
02852,53
02861,2
03087,29
03102,32
03103,27
03106,442
04055,2
04330,16
04345,1
05068,1
05450,1
06076,75
06082,14
06098,3
06237,22
06340,6
06492,1
06511,7
06811,64
07055,3
07109,282
07461,7
07748,84
07753,37
07821,29
07844,6
07852,296
07936,1
08080,1
08088,169
08094,1
08096,103
08742,1
08822,23
08840,143
08846,4
08887,51
10304,78
10607,1
10940,24
11101,21
11218,88
11414,20
11428,19
11501,206
11706,16
11715,1
11758,313
11769,80
11776,1
12065,38
12106,5
12553,32
12563,1
12901,1
14094,46
14120,194
14218,1
14420,1
14585,6
15010,1
15017,1
15044,2
15084,155
15108,15
15116,2
15210,5
15212,1
15317,158
15370,24
15425,1
15456,50
15537,271
15601,3
15613,1
15642,196
15650,70
15668,1
15767,1
15904,1
15906,110
15931,38
16025,55
16037,1
16046,84
16154,1
16159,1
16316,308
16601,92
16616,1
16635,10
16686,32
16801,64
16823,201
17011,12
17022,40
17050,7
17402,84
17545,31
17557,7
17601,11
17701,9
18036,31
18103,1
18702,262
18901,50
19020,44
19082,30
19344,337
19355,3
19468,1
19512,83
19709,1
19901,55
20003,1
20110,42
20186,6
20191,1
20842,1
20852,61
20879,1
21054,21
21060,8
21117,1
21236,100
21502,39
21541,36
21704,54
21801,102
22046,18
22079,1
22192,27
22408,2
22560,1
22567,62
23117,18
23235,137
23509,19
23510,1
23875,153
24210,1
24382,11
24501,40
24523,1
24528,1
24605,83
25309,3
25313,2
25404,1
25405,27
25411,233
25430,1
25651,1
25801,158
25882,1
26035,2
26301,145
26337,1
26452,1
26726,3
26757,227
26847,107
27030,31
27041,1
27103,189
27105,41
27243,1
27330,3
27405,2
27406,1
27409,39
27529,37
27530,131
27537,125
27539,1
27587,28
27616,15
27707,28
27804,309
27834,49
27858,59
27893,1
27932,1
28001,72
28023,1
28027,107
28031,2
28037,1
28056,103
28079,2
28080,15
28098,78
28105,64
28110,2
28117,47
28134,329
28147,4
28152,9
28208,58
28314,1
28323,1
28349,1
28379,87
28457,1
28460,1
28540,13
28590,1
28601,36
28602,2
28607,2
28619,4
28659,2
28665,1
28677,317
28681,11
28704,1
28786,1
28803,27
29072,330
29150,48
29169,1
29180,1
29316,23
29323,172
29325,68
29579,1
29588,1
29615,201
29624,3
29678,199
29720,201
29730,199
30004,1
30019,1
30040,83
30043,156
30045,92
30046,218
30047,126
30060,1195
30062,65
30076,69
30093,2
30094,3717
30103,1
30114,153
30115,1
30120,2
30122,118
30132,1
30134,73
30141,10
30145,1
30152,3
30165,81
30170,34
30173,1
30189,56
30214,25
30224,202
30236,152
30240,26
30253,8
30263,39
30342,1
30461,311
30504,465
30506,2
