zip,data
01005,13
01119,2
01201,38
01863,16
01915,1
02035,41
02861,4
03102,31
03103,18
03106,355
05672,1
06076,76
06082,1
06098,3
06120,1
06237,1
06705,22
07109,70
07852,1
11758,132
12065,20
12106,16
12553,74
14094,58
14120,201
14519,1
14585,18
15642,76
15906,3
15931,13
16046,15
16635,5
16823,151
17022,10
17557,19
17560,1
18901,10
23510,1
33138,1
42003,1
43215,1
43452,143
43537,370
44010,1
44022,1
44146,23
44255,5
44406,1
44446,18
44720,12
44839,136
45333,1
45365,1
45840,149
46323,11
46530,1
48002,1
48035,15
48051,3
48073,2
48103,5
48114,39
48127,8
48146,14
48161,6
48302,1
48356,1
48371,1
48446,4
48453,1
48471,20
48629,42
48706,1
48843,5
48854,174
48879,1
49009,154
49022,10
49079,2
49097,1
49254,22
49332,177
49504,9
49512,49
49770,1
49858,1
50022,8
50125,1
50210,1
50644,30
50659,21
51106,1
53012,161
53038,23
53045,37
53074,28
53095,120
53103,265
53114,53
53121,158
53149,64
53154,17
53182,43
53189,96
53532,1
53566,15
53581,38
53713,69
53812,29
54016,2
54115,52
54130,132
54313,1
54901,73
54904,41
54913,110
54935,1
54937,62
55008,6
55009,280
55044,6
55051,38
55066,332
55328,97
55343,26
55346,1
55362,32
55387,87
55389,81
55901,196
55971,16
56001,33
56201,20
56304,87
56425,33
56601,88
57108,1
57783,11
60004,1
60031,1
60046,53
60070,1
60098,9
60441,33
60516,1
60560,1
61008,19
61032,3
61071,7
63341,1
80214,11
80301,7
80487,54
81501,1
82070,16
82604,9
82901,7
82902,17
83440,53
83605,146
84337,2
87507,1
89511,43
93710,38
94501,2
95603,1
95624,71
95661,8
97080,1
97301,4
97385,1
97701,12
98002,2
98022,22
98027,1
98037,8
98059,1
98072,14
98272,18
98274,37
98424,17
98607,1
98632,4
98672,1
98686,5
98902,1
99016,8
99338,25
99732,1
