fips,Total Households,0-10k,10-15k,15-20k,20-25k,25-30k,30-35k,35-40k,40-45k,45-50k,50-60k,60-75k,75-100k,100-125k,125-150k,150-200k,200k+
72001,10952,1026,682,443,330,235,152,137,55,104,84,80,30,145,192,5973,3040
72003,53603,5885,3973,2985,2074,1429,966,946,696,2255,1158,708,323,2560,2226,33139,15716
72005,31899,3547,2302,1890,1419,976,700,613,551,1648,892,545,305,1884,1578,20367,9774
72011,21773,2259,1808,1268,893,700,399,334,154,789,425,168,126,690,772,13138,5810
72013,50035,5097,3929,3281,2361,1483,1099,926,738,2395,1496,645,355,1274,1402,30452,12794
72017,12049,1386,1020,696,557,353,326,176,201,601,335,130,82,853,730,8025,3674
72023,30180,3422,2450,1997,1329,1004,602,547,416,1097,755,438,192,958,1026,18372,7281
72027,26782,2805,2084,1466,1034,676,458,373,289,644,368,292,171,570,513,15269,6488
72081,20606,1827,1266,957,585,439,219,120,132,284,186,81,6,204,247,11072,5759
72039,10827,1198,738,471,297,301,151,167,95,269,164,68,33,190,213,6078,2812
72051,14842,1896,1466,1311,1175,949,505,376,344,1713,788,640,312,1175,956,11151,4005
72651,14842,1896,1466,1311,1175,949,505,376,344,1713,788,640,312,1175,956,11151,4005
72055,11880,1218,799,647,412,332,163,105,83,514,299,127,55,473,622,7524,3819
72054,7173,588,540,459,269,174,131,55,22,156,91,50,46,101,159,3968,1766
72059,11251,1139,881,724,503,424,237,202,105,456,271,108,53,828,707,7410,3419
72065,21939,2479,1826,1340,814,568,375,340,284,624,437,172,140,629,679,12851,5237
72067,9559,1083,860,715,538,388,351,219,172,555,195,153,58,426,259,5909,1814
72071,24129,2639,1780,1289,908,705,540,397,249,926,517,254,168,773,886,14618,6378
72073,9136,845,550,551,306,244,158,140,76,209,178,33,25,165,175,5161,2356
72079,15041,1632,1205,744,625,486,285,214,178,551,275,199,137,723,641,9424,4246
72083,6652,614,422,303,197,132,77,55,27,113,82,22,35,126,83,3621,1907
72145,34359,3653,2680,2197,1798,1221,777,706,505,1831,995,609,249,798,870,20679,7989
72095,4574,888,498,381,339,181,101,117,42,1150,567,242,142,351,474,4118,1837
72113,10732,1315,902,746,552,395,274,267,196,659,402,271,162,548,678,7503,2970
72099,19331,1925,1662,1409,1135,932,520,593,410,1272,768,431,276,819,1057,12839,4909
72101,13657,1454,1135,929,572,571,292,239,207,872,582,186,134,380,870,9222,4136
72103,11696,1489,968,766,549,363,277,186,175,974,476,251,99,733,670,8067,3707
72105,15872,1828,1380,811,538,409,308,201,216,501,305,117,72,259,335,9083,3673
72107,11492,1407,814,670,279,302,161,107,101,335,219,143,36,723,620,7293,3724
72109,8592,1223,884,699,490,399,311,138,127,822,371,173,133,498,1234,7196,3090
72069,22764,3648,2692,2272,1408,1146,953,657,674,3589,1453,841,488,2565,2044,19032,7074
72123,11444,1297,1054,807,514,334,292,217,149,984,449,222,98,924,765,8154,3730
72129,20639,2418,1785,1455,1007,517,479,397,275,999,539,210,53,1250,1124,13582,5773
72133,9570,1360,903,711,458,351,274,149,195,784,450,166,108,897,706,7006,2970
72147,4892,567,368,247,197,127,120,38,68,530,281,73,39,293,210,3348,1888
72149,12579,1362,959,847,512,346,349,208,120,488,234,105,56,371,772,7999,3549
72151,15833,2425,1706,1358,875,664,506,332,234,1455,668,283,200,1765,1969,13104,5459
72127,251433,29299,26368,23295,18268,13780,10069,8540,8007,30492,17690,10861,6508,20172,16906,192934,68910
72021,214,7,12,37,18,22,9,25,12,13,12,19,7,7,0,40,90
72137,37034,4627,4036,3621,2770,1863,1578,1298,1091,4249,2000,1268,535,2862,1813,26984,8391
25013,220300,24217,27037,29289,27894,18502,13638,11742,11772,21755,18068,21040,17720,20736,11136,25854,149242
25003,99287,9269,10933,11485,10455,7798,5887,5212,4940,4470,6202,7858,6358,3876,2421,2825,65106
25011,55374,5418,6129,6584,6492,4310,3143,3184,2497,2585,3400,5025,4143,2321,1662,1839,36516
25015,75166,6681,8888,9358,9267,6484,4834,3994,3731,3760,5530,7606,6331,3918,2424,2552,51718
25027,452975,39924,48566,55639,61638,43663,30868,29251,26493,24949,32260,46886,44658,33320,19596,29484,324156
25017,601658,48846,61062,72781,87542,64956,47520,46621,45927,38369,43863,77392,70105,51248,35027,41581,459988
25025,329136,41895,37728,43713,45308,34308,25828,23212,24303,69380,33034,50682,34883,37564,28270,48385,230065
25100,5161,236,406,578,703,588,612,514,744,158,334,525,600,536,481,409,4937
25009,369891,34942,39431,45398,52337,37275,26034,25384,25201,21208,26072,37031,38704,35022,19020,35532,272930
25021,267968,20254,26395,33062,41042,29669,21706,19988,19322,18157,19340,32609,32047,21824,13809,15240,205250
25023,187600,14093,19055,23854,28142,18979,13087,12044,11794,8551,13797,18877,22230,14103,8034,6684,143388
25005,297437,30260,32705,37365,36859,23540,16946,15943,14795,15444,20538,28520,25734,17440,11917,11764,203989
25065,10871,925,851,1149,1393,1232,832,970,1646,1105,674,2401,1701,1223,858,1188,9725
25125,26981,2200,2319,3200,3976,2946,2019,2236,2525,1859,1781,4321,3867,2344,1597,1893,22088
25030,16110,1275,1468,2051,2583,1714,1187,1266,879,754,1107,1920,2166,1121,739,705,12363
25040,16110,1275,1468,2051,2583,1714,1187,1266,879,754,1107,1920,2166,1121,739,705,12363
