zip,data
01001,5
01003,4
01005,22
01007,4
01009,3
01011,14
01013,5
01021,5
01027,14
01029,15
01031,20
01033,4
01035,4
01037,20
01039,4
01041,5
01053,4
01057,3
01059,4
01061,4
01063,4
01069,3
01071,15
01073,5
01075,4
01077,5
01079,3
01081,19
01083,9
01085,5
01089,5
01093,4
01095,5
01097,15
01101,5
01103,5
01105,5
01107,5
01109,5
01111,5
01115,5
01119,5
01129,5
02020,6
02050,6
02060,27
02070,23
02090,27
02110,27
02122,27
02130,27
02150,28
02170,27
02180,83
02185,27
02188,27
02201,27
04001,56
04003,0
04005,0
04007,0
04009,0
04011,0
04013,0
04015,0
04017,0
04019,0
04021,0
04027,60
05001,0
05009,0
05031,0
05033,0
05035,0
05037,0
05039,0
05041,0
05043,0
05045,0
05047,0
05049,0
05051,0
05053,0
05055,0
05059,0
05061,0
05065,0
05067,0
05069,0
05071,0
05073,0
05075,0
05077,0
05079,0
05081,0
05083,0
05085,0
05089,0
05091,0
05101,0
05141,0
05143,0
05149,0
06001,16
06011,16
06013,16
06019,17
06021,23
06023,26
06025,18
06027,27
06029,18
06031,27
06033,18
06035,9
06037,26
06039,23
06041,18
06043,18
06045,18
06051,26
06053,26
06057,17
06059,17
06061,17
06063,27
06065,27
06067,26
06069,27
06071,14
06073,18
06075,20
06077,20
06079,23
06081,9
06083,9
06085,16
06087,16
06089,17
06091,27
06093,9
06095,18
06101,26
06103,26
06105,26
06107,26
06109,26
06111,26
06115,26
08001,30
08003,47
08005,47
08007,47
08009,47
08011,109
08014,47
08015,103
08019,48
08021,47
08023,47
08025,47
08027,47
08029,47
08031,47
08033,47
08035,47
08037,29
08039,47
08041,104
08043,47
08045,47
08049,47
08051,47
08053,54
08055,54
08057,91
08059,47
08061,47
08063,47
08065,47
08067,47
08069,47
08071,47
08073,109
08075,91
08077,47
08079,30
08081,47
08083,47
08085,47
08087,29
08089,46
08091,47
08093,47
08095,46
08097,47
08099,47
08101,47
08103,47
08105,47
08107,47
08109,47
10001,269
10003,269
10005,269
11001,225
12007,16
12009,16
12015,16
12017,16
12019,16
12023,16
12027,16
12029,16
12031,15
12033,16
12035,15
12037,16
12041,16
12043,15
12045,16
12047,16
12051,16
12053,15
12055,16
12057,16
12059,16
12061,16
12063,16
12065,16
12067,16
12069,15
12071,15
12073,15
12075,16
12077,16
12083,16
12085,16
12086,15
12087,16
12089,16
12093,15
12095,5
12107,16
12115,16
12117,5
12121,16
12123,16
12125,16
12131,15
12133,16
13021,0
13027,0
13029,0
13031,0
13033,0
13035,0
13037,0
13039,0
13043,0
13045,0
13051,0
13053,0
13057,0
13061,0
13063,0
13065,0
13069,0
13071,0
13073,0
13077,0
13081,0
13083,0
13087,0
13089,0
13093,0
13101,0
