fips,Total,Cash,0-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-900,900-1000,1000-1250,1250-1500,1500-2000,2000+,No Cash,Median,Aggregate
72001,298610,4609,57,10,37,6118,5620,270619,6,1520,137,1649,218,187,149,191,842,503,1854,1819,427,1093,528,417,60133,228
72003,1963317,67854,475,5510,170,158324,58949,1564723,43229,7420,996,9705,1716,1423,2151,1228,3772,1291,10768,10968,4960,4530,1715,1440,353295,6027
72005,1517774,49863,383,975,149,131287,44747,1194610,47039,5584,832,7187,1441,990,1709,982,2905,1007,7936,7577,4027,3410,1736,1398,270980,6154
72011,573201,35315,2112,124,102,13988,30336,468600,2532,2301,122,2917,245,351,523,236,1738,822,3520,2895,1015,1764,824,819,104578,630
72013,1957382,86321,18526,5697,223,105985,56013,1604870,26080,6702,475,8201,933,1038,1323,809,4009,1481,10178,8628,2800,4411,1110,1569,360419,3905
72017,336486,23138,95,55,46,27755,12626,261505,0,1153,81,1573,117,129,361,149,1106,405,1944,1511,724,1159,403,451,58111,162
72023,1051982,58307,3846,4697,168,66404,37886,818134,32839,3138,262,3998,510,629,782,452,2265,1524,4875,4978,1433,2268,1353,1234,187447,4148
72027,697062,20301,177,93,65,36890,17906,595713,2214,2903,146,3543,386,377,623,345,1913,852,4056,3593,1119,2028,898,921,132786,686
72081,539558,6062,52,61,12,6211,6612,501100,6,2670,141,3002,306,453,397,328,1477,556,3392,3075,778,1303,636,928,111354,419
72039,326178,11289,87,30,41,10431,3300,290605,0,1307,54,1519,96,174,215,121,873,379,1801,1506,596,933,372,449,64566,192
72051,706278,58150,3481,3809,109,71572,22282,449728,82131,1342,96,1971,184,294,577,252,1247,704,2853,2131,919,1356,510,580,111712,9325
72651,706278,58150,3481,3809,109,71572,22282,449728,82131,1342,96,1971,184,294,577,252,1247,704,2853,2131,919,1356,510,580,111712,9325
72055,338185,12203,2281,27,88,28515,9220,270000,1800,1487,192,1866,272,205,350,183,1145,702,2490,1971,807,1147,475,759,60285,431
72054,207476,2871,2429,6320,22,912,3110,184000,0,784,93,920,159,145,150,147,524,366,1307,1701,304,434,409,369,41588,126
72059,252202,6382,46,26,21,30729,5515,199000,300,1033,130,1419,193,185,405,158,800,302,1657,1378,674,1006,389,454,44277,199
