zip,data
01001,219
01003,257
01005,825
01007,653
01009,655
01011,221
01013,281
01021,673
01027,227
01029,207
01031,825
01033,652
01035,256
01037,825
01039,203
01041,322
01053,248
01057,679
01059,257
01061,300
01063,299
01069,644
01071,227
01073,228
01075,320
01077,216
01079,655
01081,828
01083,603
01085,229
01089,218
01093,253
01095,659
01097,227
01101,619
01103,619
01105,619
01107,269
01109,660
01111,660
01115,619
01119,660
01129,660
02020,52
02050,406
02060,459
02070,690
02090,1021
02110,858
02122,857
02130,859
02150,856
02170,1021
02180,856
02185,765
02188,763
02201,858
04001,513
04003,40
04005,481
04007,190
04009,134
04011,40
04013,40
04015,133
04017,131
04019,40
04021,133
04027,515
05001,189
05009,218
05031,188
05033,188
05035,187
05037,20
05039,189
05041,207
05043,189
05045,189
05047,189
05049,20
05051,188
05053,190
05055,189
05059,190
05061,208
05065,190
05067,190
05069,186
05071,19
05073,190
05075,189
05077,189
05079,189
05081,189
05083,189
05085,187
05089,20
05091,188
05101,20
05141,20
05143,18
05149,18
06001,242
06011,231
06013,241
06019,241
06021,391
06023,247
06025,227
06027,214
06029,643
06031,391
06033,228
06035,219
06037,248
06039,387
06041,589
06043,755
06045,589
06051,248
06053,248
06057,239
06059,237
06061,239
06063,237
06065,236
06067,248
06069,384
06071,644
06073,226
06075,851
06077,851
06079,387
06081,221
06083,572
06085,242
06087,242
06089,242
06091,213
06093,218
06095,237
06101,236
06103,259
06105,259
06107,260
06109,260
06111,249
06115,259
08001,997
08003,1716
08005,902
08007,1732
08009,1743
08011,1608
08014,1492
08015,1383
08019,1012
08021,1784
08023,1556
08025,1509
08027,1487
08029,1730
08031,1731
08033,1732
08035,1732
08037,1234
08039,1508
08041,1386
08043,1680
08045,1731
08049,1730
08051,1441
08053,1683
08055,1640
08057,1719
08059,1733
08061,1479
08063,1481
08065,1777
08067,1521
08069,1523
08071,1511
08073,1688
08075,1761
08077,1774
08079,905
08081,1743
08083,1729
08085,1486
08087,1002
08089,1738
08091,1783
08093,1444
08095,1267
08097,1440
08099,1731
08101,1775
08103,1775
08105,1776
08107,1734
08109,1775
10001,329
10003,329
10005,328
11001,91
12007,166
12009,7
12015,167
12017,297
12019,6
12023,167
12027,6
12029,194
12031,6
12033,179
12035,7
12037,181
12041,167
12043,6
12045,166
12047,7
12051,167
12053,8
12055,166
12057,32
12059,166
12061,20
12063,180
12065,6
12067,167
12069,7
12071,166
12073,6
12075,181
12077,168
12083,167
12085,7
12086,6
12087,167
12089,34
12093,163
12095,17
12107,8
12115,179
12117,6
12121,21
12123,180
12125,34
12131,164
12133,32
13021,170
13027,164
13029,171
13031,162
13033,170
13035,129
13037,129
13039,129
13043,129
13045,117
13051,129
13053,117
13057,129
13061,129
13063,129
13065,367
13069,157
13071,362
13073,163
13077,118
13081,362
13083,122
13087,118
13089,172
13093,156
13101,117
13103,122
13107,122
13111,165
13113,170
13115,158
13117,171
13119,168
13121,156
13123,127
13131,122
13135,160
13137,166
13139,363
13141,118
13143,166
13145,112
13147,168
13153,168
13155,129
13157,127
13159,128
13163,128
13165,388
13167,122
13201,172
13205,172
13207,172
13209,172
13211,172
13215,172
13217,172
13219,172
13221,172
13225,172
