zip,data
01001,2121
01003,1358
01005,1522
01007,1456
01009,1678
01011,1666
01013,2086
01021,2095
01027,1592
01029,1940
01031,1349
01033,1597
01035,1417
01037,1359
01039,1294
01041,2018
01053,1561
01057,2034
01059,1360
01061,1617
01063,1664
01069,1705
01071,2034
01073,1960
01075,1762
01077,2174
01079,1694
01081,2448
01083,1708
01085,2054
01089,2119
01093,1349
01095,2128
01097,2034
01101,2121
01103,2121
01105,2121
01107,2121
01109,2131
01111,2131
01115,2121
01119,2152
01129,2153
02020,1659
02050,1689
02060,2263
02070,1859
02090,2336
02110,2317
02122,2352
02130,2353
02150,2289
02170,2335
02180,1841
02185,2310
02188,2310
02201,2317
04001,686
04003,35
04005,690
04007,690
04009,36
04011,35
04013,35
04015,36
04017,35
04019,35
04021,35
04027,754
05001,36
05009,37
05031,12
05033,13
05035,12
05037,36
05039,14
05041,16
05043,38
05045,14
05047,37
05049,36
05051,13
05053,36
05055,36
05059,36
05061,16
05065,12
05067,36
05069,25
05071,36
05073,36
05075,12
05077,14
05079,13
05081,13
05083,13
05085,13
05089,36
05091,36
05101,94
05141,94
05143,36
05149,36
06001,2306
06011,2317
06013,2315
06019,2222
06021,2210
06023,2282
06025,2189
06027,2100
06029,2289
06031,2242
06033,2189
06035,2113
06037,2308
06039,1997
06041,2189
06043,2255
06045,2189
06051,2280
06053,2280
06057,2259
06059,2126
06061,2249
06063,2223
06065,2223
06067,2183
06069,2184
06071,2217
06073,2170
06075,2703
06077,2712
06079,1997
06081,2172
06083,2250
06085,2306
06087,2306
06089,2281
06091,2100
06093,2118
06095,2191
06101,2171
06103,2183
06105,2183
06107,2281
06109,2183
06111,2281
06115,2183
08001,2150
08003,3220
08005,2092
08007,2831
08009,2399
08011,2645
08014,2842
08015,2624
08019,2397
08021,2440
08023,2223
08025,2387
08027,2843
08029,2830
08031,2831
08033,2830
08035,2831
08037,2170
08039,2291
08041,2647
08043,2333
08045,2831
08049,2830
08051,2313
08053,2842
08055,2803
08057,3343
08059,2831
08061,2778
08063,2781
08065,3301
08067,2243
08069,2224
08071,2387
08073,3362
08075,3410
08077,3236
08079,1867
08081,2429
08083,2366
08085,2361
08087,1730
08089,2356
08091,2412
08093,2777
08095,2355
08097,2776
08099,2831
08101,2839
08103,2840
08105,2840
08107,2831
08109,3256
10001,2502
10003,2502
10005,2540
11001,2417
12007,275
12009,275
12015,561
12017,1275
12019,274
12023,275
12027,274
12029,1235
12031,439
12033,276
12035,274
12037,623
12041,275
12043,440
12045,276
12047,275
12051,276
12053,275
12055,275
12057,272
12059,275
12061,275
12063,274
12065,274
12067,275
12069,438
12071,274
12073,275
12075,622
12077,275
12083,276
12085,275
12086,272
12087,276
12089,273
12093,276
12095,440
12107,275
12115,536
12117,438
12121,274
12123,343
12125,1149
12131,274
12133,272
13021,576
13027,555
13029,558
13031,562
13033,576
13035,724
13037,723
13039,724
13043,686
13045,561
13051,736
13053,560
13057,724
13061,698
13063,736
13065,612
13069,555
13071,587
13073,596
13077,595
13081,576
13083,552
13087,596
13089,558
13093,555
13101,553
13103,723
13107,556
13111,576
13113,576
13115,555
13117,602
13119,567
13121,555
13123,723
13131,556
13135,555
13137,567
13139,576
13141,595
13143,602
13145,550
13147,569
13153,567
13155,719
13157,723
13159,597
13163,686
13165,849
13167,724
13201,558
13205,558
13207,558
13209,558
13211,724
13215,564
13217,724
13219,564
13221,558
13225,724
13235,558
13251,724
13261,558
13301,395
13303,682
13309,680
13313,397
13315,171
13317,441
13319,682
13321,683
15001,2567
15003,2640
15007,2223
15009,2421
16001,2686
16003,2674
16017,2218
16021,2239
16023,2221
16025,2169
16027,2696
16029,2673
16033,2696
16035,2236
16037,2568
16039,2221
16041,1887
16045,2674
16049,1326
16051,2418
16053,2696
16055,2214
16057,2239
16059,2222
16061,2250
16063,2582
17001,933
17003,913
17005,844
17007,936
17009,380
17011,933
17013,549
17015,789
17017,843
17019,937
17021,597
17023,844
17025,884
17027,937
17029,617
17033,949
17035,591
17037,322
17039,1636
17041,955
17043,933
17045,790
17047,393
17049,306
17051,484
17053,884
17055,886
17057,960
17059,304
17061,843
17063,375
17065,621
17067,1616
17069,844
17071,718
17073,1634
17075,484
17077,958
17081,549
17083,1002
17085,1066
17087,1617
17089,933
17093,927
17097,917
17099,379
17101,936
17103,930
17105,949
17107,930
17109,949
17111,950
17113,955
17121,930
17123,930
17125,930
17127,930
17129,930
17177,949
17201,412
18001,2336
18003,2471
18011,2921
18013,1721
18015,2744
18017,2327
18025,2737
18031,2365
18035,1541
18037,1594
18039,3112
18041,3103
18043,2163
18045,2286
18049,3078
18051,1789
18053,1570
18055,2596
18059,1544
18063,1849
18065,1592
18067,1484
18069,1753
18071,1362
18073,3194
18077,3111
18079,1612
18081,2719
18083,1882
18085,1852
18087,2603
18091,1324
18099,3023
18101,2719
18103,2902
18105,2721
18109,2339
19001,3559
19003,3152
19007,3447
19009,3560
19013,2871
19015,2877
19017,2952
19019,3540
19021,3614
19023,2854
19025,3594
19027,3560
19029,2844
19031,3172
19033,2878
19035,3153
19037,3037
19039,3165
19041,3152
19043,2853
19047,3582
19049,3582
19053,3641
19055,3509
19057,3447
19061,2850
19063,3155
19065,3037
19067,3633
19073,3171
19075,3591
19079,2853
19081,2879
19083,3153
19085,3151
19087,3224
19089,3224
19091,3037
19093,3022
19095,3595
19099,3066
19101,3137
19103,3022
19105,3057
19107,3057
19109,2855
19111,3531
19113,2844
19115,3560
19119,3172
19121,3126
19123,3029
19125,3037
19127,3128
19129,3172
19131,3126
19133,3083
19135,3464
19137,3489
19139,3026
19141,3592
19143,3022
19145,2853
19147,2856
19149,3531
19151,3125
19153,2853
19155,3631
19161,3531
19171,3057
19173,3066
19175,2855
19177,2855
19179,3172
19181,2855
19183,3066
19185,2803
19187,3066
19191,3066
19193,3022
19195,3066
19197,3022
20001,4481
20003,4481
20005,4481
20007,4480
20009,4481
20011,4293
20013,4481
20015,4335
20017,4294
20019,4294
20023,4481
20027,4480
20029,4294
20033,4294
20035,4481
20037,4481
20039,4293
20041,4451
20043,4481
20045,4481
20047,4335
20049,4481
20051,4481
20053,4481
20055,4481
20057,4481
20059,4294
20061,4294
20063,4481
20065,4481
20067,4481
20069,4478
20071,4481
20073,4481
20075,4294
20077,4294
20081,4481
20091,4481
20097,4481
20101,4445
20103,4445
20105,4119
20107,4138
20109,4192
20111,4154
20113,4191
20115,2948
20117,3371
20119,3667
20121,4155
20129,3557
20131,3369
20135,2915
20137,3883
20139,3559
20141,3214
20143,4173
20147,4259
20149,4259
20151,4426
20153,4357
20155,4047
20159,3560
20163,4445
20165,4338
20167,4445
20169,4067
20171,4451
20175,3726
20177,3739
20181,4048
20185,3039
20187,3628
20189,4446
20191,4400
20195,4443
20197,3557
20201,4481
20203,4481
20207,4294
21001,1834
21005,1676
21009,2123
21013,2791
21015,1997
21017,1955
21023,2584
21027,2463
21029,4193
21031,2663
21035,4069
21037,3509
21041,3527
21043,3527
21045,4192
21047,2333
21051,2766
21053,2445
21057,2553
21061,3467
21065,2664
21071,2808
21075,3639
21077,3639
21085,2123
21087,2438
21093,2748
21105,2120
21111,2685
21113,4192
21117,2796
21123,2985
21131,2666
21133,3216
21139,2771
21153,2806
21155,2855
21157,2919
21161,2075
21163,3232
21201,3035
21203,3036
21205,2792
21207,3208
21209,2816
21211,2790
21213,2792
21215,2852
21217,2850
21219,2892
21221,2620
21223,3097
21225,3050
21227,3466
21229,3453
21231,3035
21233,3035
21235,3470
21237,2635
21239,2746
22003,4471
22009,4338
22015,4338
22025,4065
22027,4605
22031,4469
22033,4445
22035,4357
22037,4478
22039,4282
22041,4610
22043,4610
22067,4522
22079,4319
22081,4478
22095,4434
22101,4480
22103,4480
22107,4480
22109,4480
22119,4478
22121,4380
22125,4277
23001,460
23003,438
23005,936
23009,882
23011,505
23015,835
23021,387
23023,883
23025,383
23027,513
23031,190
24001,768
24003,768
24005,768
24009,768
24011,768
24013,768
24015,767
24017,736
24019,737
24023,768
24025,768
24027,768
24029,768
24031,768
24033,768
24035,768
24037,768
24043,768
24045,768
25003,172
25005,97
25007,97
25009,172
25011,171
25015,98
25019,97
25021,96
25025,97
26003,748
26031,680
26033,316
26035,1386
26037,1306
26039,130
26041,130
26047,2474
26055,17
26059,752
26075,991
26101,6
26103,6
26105,6
26121,5
26133,20
26137,16
