Zip,Total,Cash,0-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-900,900-1000,1000-1250,1250-1500,1500-2000,2000+,No Cash,Median,Aggregate
00601,298610,4609,57,10,37,6118,5620,270619,6,1520,137,1649,218,187,149,191,842,503,1854,1819,427,1093,528,417,60133,228
00602,546005,18015,121,4562,49,28878,19206,451913,4105,2165,194,2795,297,482,486,370,1425,427,3156,3761,1025,1455,570,548,101400,798
00603,1417312,49839,354,948,121,129446,39743,1112810,39124,5255,802,6910,1419,941,1665,858,2347,864,7612,7207,3935,3075,1145,892,251895,5229
00604,100462,24,29,27,28,1841,5004,81800,7915,329,30,277,22,49,44,124,558,143,324,370,92,335,591,506,19085,925
00606,91505,1127,5,20,6,5513,1500,79100,6,407,32,503,55,51,75,32,462,222,593,526,182,434,329,325,17577,61
00610,410314,30164,2071,106,91,12178,21736,328400,2518,1444,92,1906,175,229,414,159,1141,483,2392,1856,727,1153,410,469,73278,502
00612,1761274,77133,15908,5653,212,88569,53903,1447763,26080,6027,411,7353,851,905,1175,703,3165,1175,8713,7794,2497,3488,886,910,325531,3802
00616,136911,9174,1718,38,11,9616,2106,109100,0,468,30,617,43,93,94,69,555,300,947,603,193,557,208,371,24233,71
00617,336486,23138,95,55,46,27755,12626,261505,0,1153,81,1573,117,129,361,149,1106,405,1944,1511,724,1159,403,451,58111,162
00622,203517,4518,93,49,24,15515,8010,151816,17720,490,49,645,42,108,118,78,613,570,735,655,193,597,467,412,35764,2045
00623,784344,35983,2224,4343,121,44778,28269,632411,15119,2522,196,3138,440,501,591,339,1403,615,3655,3983,1055,1448,617,593,142861,2085
00624,314922,32946,66,21,23,24728,4211,241106,1111,1128,97,1484,210,137,382,124,871,467,1768,1447,627,1048,501,419,53719,289
00627,534175,15150,136,75,54,35080,9306,455513,2200,2046,116,2532,316,255,514,268,1316,513,2928,2554,831,1417,484,571,101486,558
00631,39771,8,0,0,0,0,7,37700,0,254,6,283,6,56,10,27,296,19,315,303,87,125,33,236,8377,36
00637,424362,23567,854,76,65,28131,14133,339900,4205,1568,114,1982,290,300,448,207,985,438,2338,1910,771,1166,425,489,76010,724
00638,326178,11289,87,30,41,10431,3300,290605,0,1307,54,1519,96,174,215,121,873,379,1801,1506,596,933,372,449,64566,192
00641,662398,11662,2880,61,75,14729,9341,600606,1707,2874,203,3202,435,395,501,306,1345,591,4249,3342,1103,1438,663,690,133652,629
00646,706278,58150,3481,3809,109,71572,22282,449728,82131,1342,96,1971,184,294,577,252,1247,704,2853,2131,919,1356,510,580,111712,9325
00647,52132,4306,12,6,18,0,0,45000,0,261,23,303,23,13,56,18,455,383,370,311,74,159,25,316,9988,38
00650,207476,2871,2429,6320,22,912,3110,184000,0,784,93,920,159,145,150,147,524,366,1307,1701,304,434,409,369,41588,126
00652,59197,14,900,6,0,7800,4,48007,0,207,34,231,39,40,54,37,289,6,518,231,110,366,16,288,10655,32
00653,286053,7897,2269,21,70,28515,9220,225000,1800,1226,169,1563,249,192,294,165,690,319,2120,1660,733,988,450,443,50297,393
00656,252202,6382,46,26,21,30729,5515,199000,300,1033,130,1419,193,185,405,158,800,302,1657,1378,674,1006,389,454,44277,199
00659,595532,18311,149,64,37,22333,13027,505007,17519,2453,150,2969,285,467,585,328,1498,626,3300,2880,879,1482,522,661,114208,2338
00660,347699,15177,74,66,47,30553,5110,285635,2123,954,86,1224,166,172,355,149,722,551,1359,1183,461,738,337,457,63747,396
00662,844067,23460,1231,143,88,46420,34215,694234,20822,2908,255,3538,439,416,713,400,1619,667,4383,3686,1282,1756,629,763,156592,2771
00664,285029,11787,475,16,37,6706,3413,249311,2307,1355,154,1600,278,214,287,133,803,429,1844,1539,459,963,514,405,55697,476
00667,414187,22531,100,8744,64,28471,13224,324905,2215,1551,105,2027,222,230,432,173,1165,490,2307,2232,741,1251,464,543,73552,482
00669,499787,6054,52,61,12,6211,6605,463400,6,2416,135,2719,300,397,387,301,1181,537,3077,2772,691,1178,603,692,102977,383
00670,162887,5151,41,18,11,1810,8600,140200,14,857,30,1011,70,122,109,77,597,339,1128,1039,288,611,414,350,31300,128
00674,941601,40905,190,5068,141,64667,14841,786152,1941,3508,251,4203,453,455,815,442,2156,662,4882,4724,1499,2235,622,789,174911,758
00676,578621,14082,103,3948,54,7176,26214,501815,6105,2500,272,3001,385,478,311,336,1349,490,3393,3100,836,1361,568,744,112822,1078
00677,236968,10882,35,18,54,3719,4807,193109,15900,1016,97,1154,152,193,193,119,705,469,1245,1154,310,672,548,417,44688,1933
00678,387175,3728,63,32,44,19238,2829,343507,2100,2066,251,2424,452,349,427,289,1209,321,2535,2387,744,1274,384,522,76606,573
00680,3101957,153524,8465,3460,493,157863,155408,2468978,86319,8378,780,10689,1541,1273,2085,1089,3069,1395,12161,12375,5038,4603,1430,1541,559764,10893
00682,930657,55773,3964,1120,173,38092,57056,740640,6542,3075,607,4178,905,569,784,365,947,548,4624,4895,3011,1777,462,550,165336,1234
