zip, population, housingUnits, waterArea, married
00601, 19143, 6715, 0.42, 0
00602, 42042, 15590, 0, 0
00603, 55530, 21626, 0.03, 0
00604, 3923, 1245, 0, 0
00606, 6449, 2272, 0, 0
00610, 27975, 10566, 0.26, 0
00612, 72730, 28754, 1.11, 0
00616, 10532, 4043, 0.01, 0
00617, 23370, 8725, 0.64, 0
00622, 8104, 6323, 1.19, 0
00623, 38807, 16859, 0.58, 0
00624, 26719, 8735, 0.25, 0
00627, 35244, 12520, 0.01, 0
00631, 2188, 767, 0.18, 0
00637, 25935, 9982, 0, 0
00638, 19634, 6823, 0.17, 0
00641, 35015, 12333, 1.51, 0
00646, 34099, 13096, 0.1, 0
00647, 5362, 2512, 0.14, 0
00650, 12120, 4343, 0.04, 0
00652, 2987, 1160, 0.03, 0
00653, 16526, 6337, 0.07, 0
00656, 23072, 8147, 0.02, 0
00659, 38925, 13929, 0.02, 0
00660, 16614, 6423, 0, 0
00662, 42339, 16426, 0, 0
00664, 17318, 5591, 0, 0
00667, 26673, 11095, 0.36, 0
00669, 32227, 11293, 0, 0
00670, 11179, 4174, 0.15, 0
00674, 45809, 17269, 0.05, 0
00676, 39697, 14253, 0, 0
00677, 14767, 6827, 0, 0
00678, 27036, 9653, 0.47, 0
00680, 75356, 30318, 0.03, 0
00682, 24900, 9733, 0.94, 0
00683, 35126, 13601, 0, 0
00685, 44723, 16864, 0.77, 0
00687, 29965, 9462, 0.05, 0
00688, 13579, 4912, 0.01, 0
00690, 5232, 2011, 0, 0
00692, 35057, 12565, 9.76, 0
00693, 64300, 22766, 0.21, 0
00698, 46384, 17062, 0.62, 0
00703, 28964, 10350, 0.01, 0
00704, 7569, 2941, 0.03, 0
00705, 26493, 9163, 0.01, 0
00707, 12741, 4482, 0, 0
00714, 19117, 7287, 0.01, 0
00715, 2515, 973, 1.04, 0
00716, 38959, 13770, 5.08, 0
00717, 23185, 10122, 0, 0
00718, 23753, 8875, 0.01, 0
00719, 29902, 9828, 0.54, 0
00720, 23844, 7946, 0.17, 0
00723, 20152, 7677, 0.5, 0
00725, 143987, 51893, 0.4, 0
00728, 52074, 16538, 0, 0
00729, 50985, 17458, 0.12, 0
00730, 38524, 14772, 0.02, 0
00731, 21436, 7052, 0.01, 0
00735, 18004, 6742, 0.03, 0
00736, 49594, 18572, 0.01, 0
00738, 38151, 15718, 0.21, 0
00739, 40529, 13477, 0.42, 0
00740, 2561, 1418, 0, 0
00741, 5819, 2333, 0.02, 0
00745, 52362, 19928, 0.07, 0
00751, 23887, 9075, 0.67, 0
00754, 40997, 14594, 0.07, 0
00757, 21665, 7569, 0.12, 0
00765, 9106, 4388, 0.32, 0
00766, 27913, 8465, 1.61, 0
00767, 39246, 13688, 0.02, 0
00769, 37597, 13249, 0.01, 0
00771, 34485, 12421, 0, 0
00772, 24887, 8540, 1.08, 0
00773, 19817, 9327, 0.02, 0
00775, 1868, 1024, 71.45, 0
00777, 36452, 13064, 0.01, 0
00778, 36743, 12854, 0.44, 0
00780, 9782, 3244, 0.22, 0
00782, 18893, 6921, 0.13, 0
00783, 36867, 12386, 0, 0
00784, 43958, 16228, 0.6, 0
00791, 53216, 20226, 0.01, 0
00794, 28909, 9740, 0.01, 0
00795, 50531, 16490, 0.36, 0
00901, 7493, 4162, 0, 0
00906, 470, 191, 0, 0
00907, 22089, 13521, 0, 0
00909, 7679, 3522, 0, 0
00911, 9293, 5376, 0, 0
00912, 7909, 3807, 0, 0
00913, 10950, 4219, 0, 0
00915, 36147, 15471, 0, 0
00917, 26131, 11582, 0, 0
00918, 18223, 9084, 0, 0
00920, 19493, 8825, 0.01, 0
00921, 45433, 16606, 0, 0
00923, 31419, 12965, 0, 0
00924, 62362, 23403, 0.13, 0
00925, 7997, 3537, 0, 0
00926, 102610, 37807, 0.07, 0
00927, 16705, 7217, 0, 0
00934, 919, 307, 0.01, 0
00949, 81717, 29077, 0.06, 0
00952, 11974, 4265, 0, 0
00953, 62613, 20638, 0.2, 0
00956, 80855, 29048, 0.05, 0
00957, 50687, 17396, 0, 0
00959, 53267, 20147, 0.02, 0
00961, 39326, 12853, 0.07, 0
00962, 30071, 10366, 0.21, 0
00965, 9638, 3066, 0.13, 0
00966, 15340, 6345, 0, 0
00968, 3747, 2016, 0, 0
00969, 48469, 17571, 0.01, 0
00971, 29249, 10337, 0.03, 0
00976, 73262, 25570, 0.61, 0
00979, 18681, 11819, 0.04, 0
00982, 14612, 5811, 0.01, 0
00983, 47337, 17387, 0, 0
00985, 61040, 21028, 0.25, 0
00987, 40652, 13620, 0.13, 0
01001, 16576, 7279, 0.05, 50.9
01002, 36794, 10177, 0.13, 28.3
01005, 5077, 1979, 0.37, 0
01007, 13017, 5065, 0.29, 0
01008, 1235, 525, 0.29, 0
